"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.582333750E-1,-3.085090637E0,-2.117754459E0,-8.800438046E-1
8.682963750E-1,-3.172622919E0,-2.192873001E0,-8.993316889E-1
8.783603750E-1,-3.153753757E0,-1.977855325E0,-8.493678570E-1
8.884233750E-1,-2.929944992E0,-1.387817383E0,-6.329907775E-1
8.984873750E-1,-2.479410172E0,-8.070013523E-1,-2.169773281E-1
9.085513750E-1,-2.183269262E0,-6.846802831E-1,3.027729094E-1
9.186143750E-1,-2.368021488E0,-7.848317027E-1,6.759539247E-1
9.286783750E-1,-2.971043110E0,-5.921572447E-1,6.753201485E-1
9.387413750E-1,-3.369199276E0,-1.249913871E-1,2.449013591E-1
9.488053750E-1,-2.981671333E0,2.404608428E-1,-3.012602627E-1
9.588693750E-1,-1.970651865E0,9.228433967E-1,-7.169096470E-1
9.689328333E-1,-1.328861237E0,1.319323301E0,-9.798520803E-1
9.789968333E-1,-1.459305167E0,1.344019413E0,-1.126283288E0
9.890598333E-1,-1.788631678E0,1.411023140E0,-1.171420932E0
9.991238333E-1,-1.904136181E0,1.085000277E0,-1.040591598E0
1.009187833E0,-2.012746334E0,2.127972543E-1,-7.716486454E-1
1.019250833E0,-2.306483984E0,-8.181409240E-1,-4.063518643E-1
1.029314833E0,-2.328670263E0,-1.461613417E0,-2.456821315E-2
1.039377833E0,-2.182424068E0,-1.831002593E0,8.928165585E-2
1.049441833E0,-2.158182144E0,-2.256548166E0,2.394484282E-1
1.059504833E0,-2.183042526E0,-2.129929543E0,5.911760926E-1
1.069568833E0,-2.236767530E0,-1.584097028E0,9.211315513E-1
1.079632833E0,-2.323272705E0,-9.225074053E-1,1.166897178E0
1.089695833E0,-2.319400072E0,-5.674044490E-1,1.283501983E0
1.099759833E0,-2.198746920E0,-4.787680805E-1,1.284681439E0
1.109822833E0,-2.104948282E0,-4.097610116E-1,1.170849204E0
1.119886833E0,-2.050817013E0,-4.065681398E-1,1.024723411E0
1.129950833E0,-1.989217281E0,-5.160991549E-1,9.165069461E-1
1.140013833E0,-1.924071789E0,-5.773843527E-1,8.648805022E-1
1.150077833E0,-1.850434542E0,-5.348704457E-1,8.531816602E-1
1.160141833E0,-1.753659725E0,-5.430133343E-1,8.559825420E-1
1.170204833E0,-1.656641364E0,-4.730244279E-1,8.598986268E-1
1.180268833E0,-1.534813643E0,-4.556233287E-1,8.696279526E-1
1.190331833E0,-1.433313847E0,-3.852322400E-1,8.658106923E-1
1.200395833E0,-1.347580552E0,-3.938289285E-1,8.279531002E-1
1.210459833E0,-1.299413085E0,-3.679452538E-1,7.489956617E-1
1.220522833E0,-1.252253771E0,-3.498485684E-1,6.350041032E-1
1.230586833E0,-1.211134791E0,-4.407562613E-1,5.565338135E-1
1.240649833E0,-1.129115820E0,-5.250831246E-1,4.983799756E-1
1.250713833E0,-1.037338376E0,-4.890105128E-1,4.600833356E-1
1.260777833E0,-9.212933183E-1,-4.959342182E-1,4.698030651E-1
1.270840833E0,-8.229972124E-1,-4.133333266E-1,4.527152777E-1
1.280904833E0,-7.131953239E-1,-3.506297171E-1,3.680232763E-1
1.290968833E0,-6.307940483E-1,-2.622113228E-1,2.532747686E-1
1.301031833E0,-5.314576030E-1,-2.494387925E-1,1.531455070E-1
1.311095833E0,-4.260970652E-1,-2.129163444E-1,8.618942648E-2
1.321158833E0,-3.134836853E-1,-1.481128484E-1,4.908067733E-2
1.331222833E0,-1.499781907E-1,-4.644238576E-2,3.649240360E-2
1.341286833E0,1.267636567E-1,2.487053722E-1,3.331685066E-2
1.351349833E0,1.878304780E-1,1.610364616E-1,-4.341308028E-2
1.361413833E0,2.039490044E-1,-1.024340559E-2,-1.648692042E-1
1.371477833E0,2.647871375E-1,-5.419882759E-2,-2.606047392E-1
1.381540833E0,3.853260577E-1,-7.798884809E-2,-2.967576683E-1
1.391604833E0,5.119013190E-1,-3.385829180E-2,-3.426095843E-1
1.401667833E0,6.461552382E-1,2.008670010E-2,-4.079313278E-1
1.411731833E0,7.795683146E-1,5.089305714E-2,-4.598417878E-1
1.421795833E0,9.035714865E-1,7.111124694E-2,-5.031886697E-1
1.431858833E0,1.023779392E0,9.500049055E-2,-5.452461243E-1
1.441922833E0,1.135591984E0,1.019500121E-1,-5.844867229E-1
1.451985833E0,1.243861675E0,1.121722981E-1,-6.029389501E-1
1.462049833E0,1.352251530E0,1.465153545E-1,-5.974943638E-1
1.472113833E0,1.447672367E0,1.945865303E-1,-5.868433118E-1
1.482176833E0,1.539403915E0,2.669800222E-1,-5.717863441E-1
1.492240833E0,1.628649354E0,3.469333053E-1,-5.549432039E-1
1.502304833E0,1.704653263E0,4.131181836E-1,-5.261661410E-1
1.512367833E0,1.783188701E0,4.987660944E-1,-4.960063398E-1
1.522431833E0,1.862812757E0,5.991017222E-1,-4.779940248E-1
1.532494833E0,1.936844945E0,7.329471111E-1,-4.867500365E-1
1.542558833E0,2.016482830E0,8.763602376E-1,-4.972098768E-1
1.552622833E0,2.091361046E0,1.000903130E0,-5.057553649E-1
1.562685833E0,2.155937195E0,1.108962178E0,-5.022323132E-1
1.572749833E0,2.214346170E0,1.196901441E0,-4.887776971E-1
1.582812833E0,2.265980721E0,1.271622300E0,-4.719185829E-1
1.592876833E0,2.293339729E0,1.299194694E0,-4.231446683E-1
1.602940833E0,2.297026873E0,1.261338949E0,-3.296988606E-1
1.613003833E0,2.236447811E0,1.148097515E0,-1.751039922E-1
1.623067833E0,2.148447514E0,1.005567789E0,-3.403236344E-2
1.633130833E0,2.071885347E0,8.429758549E-1,6.759098172E-2
1.643194833E0,2.033327103E0,6.798554063E-1,1.294410229E-1
1.653258833E0,2.095448017E0,6.201871037E-1,1.463635415E-1
1.663321833E0,2.225154877E0,6.294650435E-1,1.305816472E-1
1.673385833E0,2.360649824E0,6.496325135E-1,1.059634015E-1
1.683448833E0,2.430924654E0,6.608201861E-1,8.545253426E-2
1.693512833E0,2.448851347E0,6.373759508E-1,1.091737822E-1
1.703576833E0,2.458784103E0,6.094766855E-1,1.570161432E-1
1.713639833E0,2.481400728E0,5.770467520E-1,2.208371460E-1
1.723703833E0,2.513331175E0,5.230333209E-1,2.998704612E-1
1.733766833E0,2.542896271E0,4.336659014E-1,3.834235668E-1
1.743830833E0,2.586224556E0,3.574781716E-1,4.737132490E-1
1.753894833E0,2.617760658E0,3.143919110E-1,5.508306026E-1
1.763957833E0,2.639475346E0,2.591347694E-1,6.123229861E-1
1.774021833E0,2.648516655E0,2.005345374E-1,6.676235199E-1
1.784084833E0,2.641830444E0,1.471999437E-1,7.224010229E-1
1.794148833E0,2.624667406E0,5.396932364E-2,7.404148579E-1
1.804212833E0,2.626152515E0,-5.467912555E-2,7.496094108E-1
1.814275833E0,2.649647713E0,-1.013973057E-1,7.287554741E-1
1.824339833E0,2.685082436E0,-6.145760417E-2,6.960249543E-1
1.834403833E0,2.685483932E0,-2.001876011E-3,6.568336487E-1
1.844466833E0,2.650970221E0,3.598751500E-3,6.190833449E-1
1.854530833E0,2.581960440E0,-7.939928770E-2,5.480996966E-1
1.864593833E0,2.491031885E0,-2.648503482E-1,4.176804423E-1
1.874657833E0,2.384284496E0,-4.778883159E-1,2.274532616E-1
1.884721833E0,2.266583681E0,-6.080287099E-1,-6.748051383E-3
1.894784833E0,2.120064735E0,-6.525899768E-1,-2.334669977E-1
1.904848833E0,1.926744819E0,-6.543295383E-1,-4.203306139E-1
1.914911833E0,1.732225537E0,-6.404740214E-1,-5.725744367E-1
1.924975833E0,1.600309610E0,-5.518186688E-1,-6.585769653E-1
1.935039833E0,1.542495251E0,-4.042957723E-1,-6.504002213E-1
1.945102833E0,1.465234637E0,-2.573620081E-1,-5.778467059E-1
1.955166833E0,1.319432974E0,-1.737500429E-1,-4.695164561E-1
1.965228958E0,1.091549993E0,-1.750158519E-1,-3.451548219E-1
1.975292958E0,8.366428018E-1,-2.028324157E-1,-2.063748538E-1
1.985356958E0,6.198274493E-1,-1.500136703E-1,-7.253263146E-2
1.995419958E0,4.037517607E-1,-1.770118251E-2,4.556973651E-2
2.005483958E0,1.775090545E-1,8.440788090E-2,1.314188689E-1
2.015546958E0,-2.792152390E-2,1.128564551E-1,1.781603247E-1
2.025610958E0,-1.712653637E-1,1.338538975E-1,2.016824335E-1
2.035674958E0,-2.775080502E-1,2.370754778E-1,2.173507810E-1
2.045737958E0,-3.864926100E-1,3.678598404E-1,2.147115916E-1
2.055801958E0,-4.986571372E-1,4.426475167E-1,2.083778381E-1
2.065864958E0,-6.111011505E-1,4.271505773E-1,1.877143681E-1
2.075928958E0,-7.012611628E-1,3.415859342E-1,1.532711536E-1
2.085992958E0,-7.303377986E-1,2.139214575E-1,1.105998605E-1
