"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.062160250E0,3.319555283E0,1.010784507E0,2.109033018E-1
3.072224250E0,3.405313730E0,1.088961959E0,3.317186534E-1
3.082288250E0,3.378080845E0,1.023627400E0,4.540613592E-1
3.092351250E0,3.303521395E0,8.954571486E-1,5.894199610E-1
3.102415250E0,3.224475861E0,7.628045678E-1,6.971702576E-1
3.112478250E0,3.144786596E0,6.137357354E-1,7.629825473E-1
3.122542250E0,3.076392412E0,4.936464727E-1,7.924766541E-1
3.132606250E0,3.019668579E0,3.952325881E-1,7.821784616E-1
3.142669250E0,2.982885122E0,2.855190039E-1,7.478461266E-1
3.152733250E0,2.939953089E0,1.664328128E-1,7.043183446E-1
3.162796250E0,2.863964319E0,5.525429174E-2,6.333267689E-1
3.172860250E0,2.782127380E0,-6.221827865E-2,5.070076585E-1
3.182924250E0,2.710796356E0,-2.283652127E-1,3.510477841E-1
3.192987250E0,2.594300032E0,-4.169787765E-1,1.499141753E-1
3.203051250E0,2.415451050E0,-6.818053126E-1,-6.936781108E-2
3.213114250E0,2.203963518E0,-9.846594930E-1,-2.677440047E-1
3.223178250E0,2.031151772E0,-1.154964805E0,-4.438966215E-1
3.233242250E0,1.916079283E0,-1.137679338E0,-5.811703205E-1
3.243305250E0,1.886863708E0,-9.955205321E-1,-6.974895000E-1
3.253369250E0,1.894991159E0,-8.009098172E-1,-7.679695487E-1
3.263432250E0,1.847181678E0,-6.235091686E-1,-7.695266008E-1
3.273496250E0,1.703070879E0,-4.804792702E-1,-6.724109650E-1
3.283560250E0,1.485757709E0,-3.921588659E-1,-4.852986336E-1
3.293623250E0,1.196408749E0,-3.260176778E-1,-2.678576708E-1
3.303687250E0,8.725351095E-1,-2.931395173E-1,-6.312217563E-2
3.313751250E0,5.618888736E-1,-2.331334203E-1,1.236410514E-1
3.323814250E0,2.959196866E-1,-1.421169341E-1,2.733846009E-1
3.333878250E0,7.916848361E-2,-8.692479134E-2,3.803994656E-1
3.343941250E0,-7.621325552E-2,-1.084357351E-1,4.078051746E-1
3.354005250E0,-1.730434000E-1,-1.627522409E-1,3.733372092E-1
3.364069250E0,-2.517078221E-1,-1.866475940E-1,3.007554114E-1
