"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.745863750E-1,1.448238373E0,-7.193590851E0,-5.278024292E0
8.846493750E-1,1.422491913E0,-6.669530640E0,-6.369255066E0
8.947133750E-1,7.972421265E-1,-5.858517151E0,-6.240073700E0
9.047773750E-1,-7.893086243E-1,-4.969366150E0,-4.474495239E0
9.148403750E-1,-3.314257965E0,-4.103716278E0,-1.734742584E0
9.249043750E-1,-6.086942139E0,-3.359613647E0,-3.866459656E-1
9.349673750E-1,-8.000113678E0,-2.960992584E0,-1.350042572E0
9.450313750E-1,-8.561596069E0,-2.794239349E0,-4.473597107E0
9.550953750E-1,-7.281158752E0,-2.575095062E0,-8.658294983E0
9.651588334E-1,-4.740791473E0,-3.038082275E0,-1.122081619E1
9.752228333E-1,-1.617835693E0,-4.692292328E0,-8.185578003E0
9.852858334E-1,1.490151215E0,-6.937772827E0,-4.383783875E0
9.953498333E-1,4.187541962E0,-8.943002930E0,-3.381468201E0
1.005413833E0,6.486012268E0,-1.034872971E1,-2.312690735E0
1.015476833E0,7.932753754E0,-1.081426163E1,-1.251397705E0
1.025540833E0,8.541687469E0,-9.608219604E0,-2.296524353E0
1.035603833E0,7.147935791E0,-7.100634155E0,-5.770200806E0
1.045667833E0,2.561024323E0,-5.158872070E0,-8.084687805E0
1.055730833E0,-1.271306305E0,-3.138822784E0,-7.423512726E0
1.065794833E0,-3.851341095E0,-1.686991882E0,-7.904612274E0
1.075858833E0,-5.745951233E0,-2.353106689E0,-8.492589569E0
1.085921833E0,-6.543043671E0,-3.974983978E0,-8.961863708E0
1.095985833E0,-5.691763916E0,-5.722599792E0,-9.830207977E0
1.106048833E0,-3.501668243E0,-7.126230927E0,-1.020877075E1
1.116112833E0,-1.242117004E0,-7.943681030E0,-9.372609558E0
1.126176833E0,1.796264648E-2,-7.689509583E0,-9.040749664E0
1.136239833E0,-1.451980591E-1,-6.571035461E0,-8.951984253E0
1.146303833E0,-9.482780457E-1,-5.699248352E0,-9.438472595E0
1.156367833E0,-1.860032043E0,-5.440137177E0,-9.976453857E0
1.166430833E0,-2.658321991E0,-5.147346039E0,-1.046264282E1
1.176494833E0,-3.000360718E0,-4.894671478E0,-1.066277664E1
1.186557833E0,-3.092568970E0,-4.776716766E0,-9.975705414E0
1.196621833E0,-3.095862122E0,-4.852758636E0,-1.044692551E1
1.206685833E0,-2.700234833E0,-5.127886505E0,-1.063673080E1
1.216748833E0,-2.166145477E0,-5.318140869E0,-1.013407608E1
1.226812833E0,-1.861528931E0,-5.349126434E0,-1.016461258E1
1.236875833E0,-1.941313019E0,-4.704566803E0,-1.029020142E1
1.246939833E0,-2.150577850E0,-3.933071136E0,-9.763297119E0
1.257003833E0,-2.506387939E0,-3.645968170E0,-9.917027435E0
1.267066833E0,-2.902314606E0,-3.488645325E0,-1.014171021E1
1.277130833E0,-2.981050873E0,-3.460503845E0,-1.042432251E1
1.287194833E0,-3.067720642E0,-3.895648956E0,-1.106753494E1
1.297257833E0,-3.374582520E0,-4.314328308E0,-1.156016052E1
1.307321833E0,-3.660787354E0,-4.303101654E0,-1.156764496E1
1.317384833E0,-3.936813354E0,-3.843856659E0,-1.147079636E1
1.327448833E0,-4.089346161E0,-3.439397736E0,-1.152453461E1
1.337512833E0,-3.988455963E0,-3.308420105E0,-1.192450287E1
1.347575833E0,-3.347488861E0,-3.750899963E0,-1.310330154E1
1.357639833E0,-3.657793579E0,-3.739673309E0,-1.156150772E1
1.367703833E0,-4.574038239E0,-3.017574921E0,-1.081965042E1
1.377766833E0,-4.131857758E0,-3.966900787E0,-1.211176346E1
1.387830833E0,-3.966900787E0,-4.076323242E0,-1.242925323E1
1.397893833E0,-4.047882385E0,-3.790567474E0,-1.219244568E1
1.407957833E0,-4.254602509E0,-3.785328369E0,-1.175849808E1
1.418021833E0,-4.394860840E0,-3.774401093E0,-1.149265091E1
1.428084833E0,-4.276307373E0,-3.841461639E0,-1.144714554E1
1.438148833E0,-4.091142426E0,-3.977378998E0,-1.134236343E1
1.448211833E0,-4.116439819E0,-4.137845306E0,-1.119267471E1
1.458275833E0,-4.258195038E0,-4.172423401E0,-1.092113937E1
1.468339833E0,-4.380041656E0,-4.133654022E0,-1.070274353E1
1.478402833E0,-4.378544769E0,-4.152065735E0,-1.051967422E1
1.488466833E0,-4.307143250E0,-4.137396240E0,-1.017988083E1
1.498530833E0,-4.232747955E0,-4.071383514E0,-9.900711365E0
1.508593833E0,-4.063000946E0,-4.061054993E0,-9.767787781E0
1.518657833E0,-3.851490784E0,-4.122277679E0,-9.494605865E0
1.528720833E0,-3.752247162E0,-4.322710876E0,-9.352102203E0
1.538784833E0,-3.717818756E0,-4.569697266E0,-9.467063141E0
1.548848833E0,-3.615431671E0,-4.638404388E0,-9.450896759E0
1.558911833E0,-3.497476959E0,-4.608466644E0,-9.400601349E0
1.568975833E0,-3.312761078E0,-4.628075867E0,-9.274713135E0
1.579038833E0,-3.020119629E0,-4.573289795E0,-9.012308807E0
1.589102833E0,-2.742447052E0,-4.472399597E0,-8.888665924E0
1.599166833E0,-2.202070770E0,-4.379143524E0,-8.650960236E0
1.609229833E0,-1.506916351E0,-4.236190796E0,-8.127349091E0
1.619293833E0,-8.002359009E-1,-3.972289581E0,-7.505991211E0
1.629356833E0,-5.110372925E-1,-3.820654907E0,-7.240144043E0
1.639420833E0,-5.255570984E-1,-3.829187164E0,-7.300019531E0
1.649484833E0,-4.779560852E-1,-3.991150360E0,-7.693850555E0
1.659547833E0,-4.266128540E-1,-4.329746246E0,-8.054899750E0
1.669611833E0,-4.125421143E-1,-4.684957581E0,-8.017776947E0
1.679674833E0,-4.135899353E-1,-4.964875488E0,-7.633376312E0
1.689738833E0,-4.168830872E-1,-5.227579193E0,-7.017257538E0
1.699802833E0,-2.962339783E-1,-5.426814880E0,-6.345753937E0
1.709865833E0,-2.294728088E-1,-5.633535004E0,-5.829477539E0
1.719929833E0,-2.865042114E-1,-5.902375946E0,-5.488786011E0
1.729992833E0,-3.459306335E-1,-6.259084167E0,-5.265151062E0
1.740056833E0,-2.829116821E-1,-6.659351807E0,-5.079387360E0
1.750120833E0,-1.231938171E-1,-6.957232361E0,-4.843477936E0
1.760183833E0,-6.077362061E-2,-7.310647430E0,-4.382137299E0
1.770247833E0,-9.580078125E-3,-7.637417908E0,-3.776646423E0
1.780310833E0,-8.502319336E-2,-7.879913635E0,-3.247347107E0
1.790374833E0,-2.877017212E-1,-8.090825043E0,-2.872676239E0
1.800438833E0,-5.995033264E-1,-8.193361816E0,-2.565514984E0
1.810501833E0,-7.583230591E-1,-8.117469635E0,-2.516267395E0
1.820565833E0,-9.487271118E-1,-8.095465393E0,-2.560575256E0
1.830629833E0,-1.197060699E0,-8.193960571E0,-2.311792603E0
1.840692833E0,-1.487905884E0,-8.152347107E0,-2.002984772E0
1.850756833E0,-1.760339355E0,-8.113278351E0,-1.743274841E0
1.860819833E0,-2.120041351E0,-8.148754578E0,-1.439706116E0
1.870883833E0,-2.527344360E0,-8.227790222E0,-1.042282562E0
