"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.289623750E-1,3.733426034E-1,2.938656881E-2,3.300071359E-1
7.389193750E-1,4.232715368E-1,5.223276466E-2,3.933088779E-1
7.488763749E-1,4.564154446E-1,5.631541461E-2,4.661263227E-1
7.588333749E-1,4.841698706E-1,6.192137301E-2,5.468509793E-1
7.687903750E-1,5.111325979E-1,3.653020784E-2,6.146223545E-1
7.787473749E-1,5.257751942E-1,-6.094750017E-3,6.546323895E-1
7.887043749E-1,5.093952417E-1,-3.536983207E-2,6.723958254E-1
7.986613750E-1,4.887037873E-1,-5.230567232E-2,6.800575256E-1
8.086183750E-1,4.872847795E-1,-7.596806437E-2,6.814448833E-1
8.185753749E-1,5.079725385E-1,-9.607653320E-2,6.728895307E-1
8.285323749E-1,5.261969566E-1,-7.731366903E-2,6.549085975E-1
8.384893750E-1,5.400733948E-1,-2.710961737E-2,6.111430526E-1
8.484463750E-1,5.674827099E-1,4.028903693E-2,5.612524748E-1
8.584043749E-1,6.152640581E-1,8.651219308E-2,5.137941241E-1
8.683613749E-1,6.958260536E-1,1.059898734E-1,4.840114415E-1
8.783183750E-1,7.875894904E-1,8.482173830E-2,4.693036079E-1
8.882753749E-1,8.346704245E-1,3.662679344E-2,4.501896501E-1
8.982323749E-1,8.386198878E-1,7.101485878E-2,4.661278725E-1
9.081893750E-1,8.154698014E-1,1.034483910E-1,5.178948641E-1
9.181463750E-1,7.322455049E-1,3.778176382E-2,5.769168735E-1
9.281033749E-1,6.468470097E-1,1.060329378E-1,6.525187492E-1
9.380603749E-1,6.490883231E-1,3.343476057E-1,7.230262160E-1
9.480173750E-1,6.493278742E-1,9.201146662E-2,7.124859691E-1
9.579743750E-1,5.535976291E-1,-1.534731388E-1,6.827102304E-1
9.679313749E-1,5.005323887E-1,-2.002350092E-1,6.181355119E-1
9.778883749E-1,5.012996197E-1,-1.505942196E-1,5.469436049E-1
9.878453750E-1,5.026418567E-1,-8.874133229E-2,4.958773851E-1
9.978023750E-1,5.019382238E-1,-4.186916351E-2,4.642169476E-1
1.007759375E0,4.899370670E-1,-2.739157714E-2,4.656074643E-1
1.017716375E0,4.570015073E-1,-3.995903581E-2,4.731040001E-1
1.027673375E0,4.284141958E-1,-9.121700376E-2,4.489551485E-1
1.037630375E0,3.894787729E-1,-1.698955745E-1,3.956176341E-1
1.047587375E0,3.416016698E-1,-2.420911193E-1,3.225803971E-1
1.057544375E0,3.133521974E-1,-2.695153058E-1,2.343221754E-1
1.067501375E0,3.036987782E-1,-2.498859316E-1,1.661878675E-1
1.077458375E0,2.898674309E-1,-2.482726127E-1,1.102571413E-1
1.087415375E0,3.183202147E-1,-2.560631633E-1,8.688141406E-2
1.097372375E0,2.288395762E-1,-2.121412456E-1,8.365606517E-2
1.107329375E0,2.973071113E-2,-1.003514603E-1,-2.681051008E-2
1.117286375E0,-1.377616227E-1,-3.704918921E-2,-1.144961491E-1
1.127243375E0,-2.310910821E-1,1.890742779E-2,-1.583234519E-1
1.137200375E0,-2.016985714E-1,1.432882398E-1,-1.300279051E-1
1.147157375E0,-7.555524260E-2,1.748428047E-1,-1.835995317E-1
1.157114375E0,-8.703505993E-2,-8.219147101E-3,-2.118639350E-1
1.167071375E0,-2.124441713E-1,-5.221261084E-2,-2.287006974E-1
1.177028375E0,-2.786564827E-1,3.189853951E-2,-2.492006421E-1
1.186985375E0,-3.220717907E-1,8.684163541E-2,-2.501073778E-1
