"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.067139640E-1,1.658434629E0,4.298215210E-1,-1.013835549E0
9.166932350E-1,1.431540012E0,3.946688473E-1,-8.455287218E-1
9.265649530E-1,1.162036061E0,2.167749256E-1,-7.208964229E-1
9.365442760E-1,8.946625590E-1,4.420717061E-2,-6.111774445E-1
9.465234950E-1,7.433995008E-1,-4.740286991E-2,-4.908061028E-1
9.563584430E-1,7.210295796E-1,-8.681648970E-2,-3.459344208E-1
9.663377140E-1,7.593780160E-1,-1.954702586E-1,-2.468677461E-1
9.763170370E-1,7.529866099E-1,-4.639089704E-1,-2.287587970E-1
9.861758390E-1,6.358109713E-1,-7.824136615E-1,-2.958684862E-1
9.961551100E-1,3.450023532E-1,-8.559147120E-1,-3.672390878E-1
1.006134381E0,-7.043853402E-2,-6.066502333E-1,-2.916075289E-1
1.015993808E0,-4.571181238E-1,-1.603175700E-1,-9.240896255E-2
1.025973078E0,-7.404701114E-1,2.029268891E-1,5.885412544E-2
1.035952349E0,-9.481905699E-1,1.848179251E-1,1.653774232E-1
1.045817558E0,-1.054713845E0,-6.870753318E-2,3.549889028E-1
1.055788651E0,-1.042996287E0,-2.412752807E-1,6.043865681E-1
1.065759797E0,-8.501890898E-1,-3.999949992E-1,7.513887286E-1
1.075607610E0,-5.529890656E-1,-5.406057835E-1,7.407364249E-1
1.085578703E0,-3.367467821E-1,-5.608451962E-1,7.045184970E-1
1.095549797E0,-2.536586225E-1,-5.075835586E-1,6.469959021E-1
1.105423078E0,-2.589847744E-1,-4.308867455E-1,5.191679597E-1
1.115394172E0,-2.802894413E-1,-3.264939189E-1,3.390104175E-1
1.125365266E0,-2.738980353E-1,-1.858831644E-1,1.834863871E-1
1.135258912E0,-2.664414048E-1,-9.054481052E-3,1.067896113E-1
1.145230058E0,-2.685718834E-1,1.826874614E-1,5.778888986E-2
1.155201151E0,-2.611152530E-1,2.732322812E-1,6.657706574E-3
1.165042506E0,-2.259625494E-1,2.274272442E-1,-2.316881903E-2
1.175013599E0,-1.588528752E-1,8.362079412E-2,5.592473317E-3
1.184984693E0,-6.617759913E-2,-1.091863886E-1,9.507204592E-2
1.194890006E0,1.997311832E-3,-2.838846147E-1,1.685731262E-1
1.204861151E0,4.993279651E-2,-3.595161438E-1,1.898777932E-1
1.214832193E0,9.360735118E-2,-3.094501793E-1,1.941387206E-1
1.224683756E0,1.191729456E-1,-1.155777797E-1,1.834863871E-1
1.234654901E0,1.330209672E-1,1.624480337E-1,1.270290315E-1
1.244625995E0,-8.641702682E-2,1.965354979E-1,-2.742975019E-2
1.254499485E0,-6.030550599E-1,7.190322876E-2,-3.193036020E-1
1.264470631E0,-9.907998443E-1,-6.924014539E-3,-5.302197337E-1
1.274441724E0,-1.071757555E0,-5.672366023E-1,-7.536523789E-2
1.284312245E0,-8.011884093E-1,-1.467358470E0,8.216941357E-1
1.294283391E0,-5.955983996E-1,-1.654839516E0,9.676310420E-1
1.304254485E0,-8.171668649E-1,-8.868064880E-1,2.719007432E-1
1.314150006E0,-9.322120547E-1,-4.207670316E-2,-2.191716880E-1
1.324121151E0,-7.340787053E-1,3.041240275E-1,-1.765623689E-1
1.334092245E0,-5.860112906E-1,4.681699276E-1,1.653774232E-1
1.343932818E0,-5.284887552E-1,4.745613039E-1,4.563191831E-1
1.353903912E0,-3.921388984E-1,4.362129271E-1,1.813559234E-1
1.363875006E0,-2.995967865E-2,7.472609878E-1,-2.745638192E-1
1.373770943E0,4.589822888E-1,1.211702585E0,-5.046541691E-1
1.383742089E0,8.989235163E-1,1.073222280E0,-6.559172273E-1
1.393713183E0,1.239798069E0,6.588466167E-1,-7.741581202E-1
1.403579537E0,1.440061927E0,4.724308550E-1,-7.453967929E-1
1.413550683E0,1.443257570E0,3.914731443E-1,-6.292864084E-1
1.423521724E0,1.270689845E0,2.657756507E-1,-5.376763940E-1
1.433405058E0,1.062969446E0,1.965354979E-1,-4.236964285E-1
1.443376203E0,9.287500381E-1,2.018616647E-1,-2.447372824E-1
1.453347297E0,8.435314298E-1,1.954702586E-1,-8.495233208E-2
1.463197610E0,7.391385436E-1,1.720351279E-1,-7.190322969E-3
1.473168756E0,6.187672615E-1,1.454043090E-1,-3.994623665E-3
1.483139849E0,5.314181447E-1,1.209039465E-1,-2.956021577E-2
1.493024016E0,4.866783321E-1,6.444659829E-2,-6.364767253E-2
1.502995110E0,4.461994767E-1,-5.166380107E-2,-1.233007237E-1
1.512966256E0,3.663070202E-1,-1.507304758E-1,-2.053236663E-1
1.522845787E0,2.406095117E-1,-1.432738453E-1,-2.564548552E-1
1.532816933E0,6.378082931E-2,-4.846810177E-2,-2.234326303E-1
1.542787974E0,-1.258306503E-1,5.698996782E-2,-1.744319052E-1
1.552665526E0,-2.792242169E-1,1.432738453E-1,-1.403444558E-1
1.562630006E0,-4.059869349E-1,2.093182951E-1,-5.512581021E-2
1.572594537E0,-4.699009061E-1,1.986659616E-1,7.057169080E-2
1.582466360E0,-4.209001958E-1,7.296846062E-2,1.781602204E-1
1.592430839E0,-3.026593328E-1,-1.624480337E-1,2.559222281E-1
1.602395370E0,-2.067883611E-1,-4.181039631E-1,3.262276053E-1
1.612260683E0,-1.599181145E-1,-5.491276383E-1,3.709673882E-1
1.622225266E0,-1.343525201E-1,-5.299534202E-1,3.741630912E-1
1.632189745E0,-1.066564545E-1,-3.978645205E-1,3.400756419E-1
1.642069641E0,-4.913387448E-2,-2.242315561E-1,2.782921195E-1
1.652034172E0,5.845466256E-2,-1.123820841E-1,1.983996481E-1
1.661998703E0,1.681736708E-1,-8.149032295E-2,1.430075318E-1
1.671887766E0,2.256962508E-1,-7.083799690E-2,1.366161406E-1
1.681852297E0,1.798912287E-1,-8.042509109E-2,1.387466043E-1
1.691816828E0,-1.398118306E-2,-3.728315700E-3,1.025286764E-1
1.701710578E0,-4.262263775E-1,1.901440918E-1,7.270215452E-2
1.711675058E0,-8.555153012E-1,1.038602218E-1,8.548495173E-2
1.721639589E0,-8.480586410E-1,-3.829512596E-1,3.944025338E-1
1.731547037E0,-4.155740440E-1,-5.640408993E-1,8.547163606E-1
1.741511568E0,-9.067796171E-2,-2.721670270E-1,6.544525623E-1
1.751476047E0,-5.659050494E-2,-2.924064696E-1,8.974587917E-2
1.761335995E0,1.010639817E-1,-2.764279842E-1,-1.030612960E-1
1.771300526E0,2.683055699E-1,2.838846147E-1,-3.169068322E-2
1.781265058E0,4.291557670E-1,3.797555864E-1,-6.471290439E-2
1.791185891E0,4.195686579E-1,-2.609820850E-2,-1.637795717E-1
1.801150370E0,3.055887222E-1,-3.355484083E-2,-2.681724131E-1
1.811114901E0,3.663070202E-1,1.315562725E-1,-4.758928418E-1
1.820980578E0,5.399399996E-1,2.423405200E-1,-6.292864084E-1
1.830945058E0,6.784203053E-1,4.074516296E-1,-6.697652340E-1
1.840909589E0,7.125077248E-1,5.203663111E-1,-6.484606266E-1
1.850798756E0,6.762897968E-1,4.660394490E-1,-5.760247707E-1
1.860763287E0,6.198324561E-1,3.105154335E-1,-4.801537991E-1
1.870727766E0,5.473966002E-1,1.794917583E-1,-3.949351311E-1
1.880618339E0,4.675041437E-1,9.640359133E-2,-3.363473415E-1
1.890582818E0,4.078511000E-1,9.107742459E-2,-2.894770801E-1
1.900547349E0,3.833507299E-1,1.432738453E-1,-2.532591522E-1
1.910402870E0,3.492632806E-1,1.901440918E-1,-2.319544852E-1
1.920367401E0,2.491313666E-1,2.370143533E-1,-1.957365721E-1
1.930331933E0,7.762885839E-2,2.924064696E-1,-1.126483902E-1
1.940249120E0,-1.098521575E-1,2.785584331E-1,-1.358172111E-2
1.950213599E0,-2.866808474E-1,2.529928386E-1,9.294158220E-2
1.960178131E0,-4.517919421E-1,2.849498391E-1,2.218347788E-1
1.970050891E0,-5.497934222E-1,2.380795777E-1,3.379451632E-1
1.980015370E0,-4.975969791E-1,2.183727734E-2,4.158403277E-1
1.989979901E0,-3.569862247E-1,-1.699046642E-1,4.477973282E-1
1.999869120E0,-2.557890713E-1,-1.858831644E-1,4.573844373E-1
2.009833599E0,-1.790923029E-1,-5.912043154E-2,4.232969582E-1
2.019798131E0,-9.919982404E-2,1.752308309E-1,3.613803089E-1
