"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.479810990E-1,1.775474429E0,-1.067557812E1,-1.736590981E0
7.579603700E-1,-2.900699139E0,-1.877229118E1,-4.682754040E0
7.679396410E-1,-8.851051331E0,-2.423390961E1,-7.198208809E0
7.777811510E-1,-1.637288857E1,-2.622234535E1,-5.535795212E0
7.877604220E-1,-1.801615906E1,-2.456950378E1,-2.421536446E0
7.977396930E-1,-9.085547447E0,-2.229811668E1,-3.854238987E0
8.075790160E-1,6.999006122E-2,-2.090908241E1,-4.951348305E0
8.175582870E-1,1.459023595E0,-2.198226357E1,-2.612962246E0
8.275375580E-1,4.001995921E-1,-2.340958214E1,3.284149170E-1
8.373874010E-1,-6.442674994E-1,-2.387917328E1,4.671986103E-1
8.473666720E-1,-2.038086653E0,-2.388395882E1,-5.868397355E-1
8.573459430E-1,-3.149552822E0,-2.310808563E1,-9.218349457E-1
8.672014640E-1,-3.082553864E0,-2.163709831E1,-7.974081635E-1
8.771807350E-1,-2.704487801E0,-1.990768623E1,-8.021938205E-1
8.871600060E-1,-2.819343328E0,-1.831227112E1,-1.266999602E0
8.970346930E-1,-2.455035925E0,-1.644347763E1,-1.472782373E0
9.070139640E-1,-1.961516380E0,-1.480499172E1,-2.263610125E0
9.169932350E-1,-1.128215909E0,-1.261077309E1,-2.641676188E0
9.268649530E-1,-4.713860750E-1,-1.030648518E1,-2.977269650E0
9.368442760E-1,-1.555334777E-1,-7.762316704E0,-2.723630428E0
9.468234950E-1,-1.674975827E-2,-5.280361176E0,-1.999801517E0
9.566584430E-1,7.453642488E-1,-2.961716175E0,-1.420140266E0
9.666377140E-1,2.072184324E0,-1.141376376E0,-9.218349457E-1
9.766170370E-1,3.342175007E0,-2.165504545E-1,-8.835497499E-1
9.864758390E-1,3.835694790E0,-4.947160780E-1,-2.148754835E0
9.964551100E-1,2.575275421E0,-8.536394835E-1,-4.012165546E0
1.006434381E0,6.520441920E-2,-6.765705943E-1,-5.827719688E0
1.016293808E0,-1.410568953E0,-2.033899166E-2,-6.508477688E0
1.026273078E0,-2.426322222E0,-1.064806059E-1,-5.856433392E0
1.036252349E0,-4.429114819E0,3.708875179E-2,-4.548755646E0
1.046117558E0,-6.172883987E0,3.918247223E-1,-3.451646566E0
1.056088651E0,-6.048457623E0,2.099701911E-1,-8.835497499E-1
1.066059797E0,-3.863810301E0,-3.840480447E-1,1.828116536E0
1.075907610E0,-1.722234130E0,-5.330012441E-1,2.613560438E0
1.085878703E0,-1.674975827E-2,-3.218346536E-1,2.666202545E0
1.095849797E0,1.415952802E0,-1.256231815E-1,2.772084951E0
1.105723078E0,2.278565407E0,1.621137410E-1,2.910868645E0
1.115694172E0,2.374278307E0,4.348955154E-1,2.656631231E0
1.125665266E0,1.622333765E0,9.188438654E-1,1.780260086E0
1.135558912E0,5.970092416E-1,1.599003673E0,5.491527915E-1
1.145530058E0,-2.703889608E-1,1.728814363E0,-2.895315289E-1
1.155501151E0,-1.171286702E0,1.244866014E0,-5.192425251E-1
1.165342506E0,-2.143969059E0,5.258227587E-1,-4.474578202E-1
1.175313599E0,-2.723630428E0,-2.069791555E-1,-4.809573591E-1
1.185284693E0,-2.522035122E0,-1.112662554E0,-7.543373108E-1
1.195190006E0,-1.875374794E0,-2.262413740E0,-9.218349457E-1
1.205161151E0,-9.696913958E-1,-3.503092289E0,-4.187439680E-1
1.215132193E0,4.671986103E-1,-5.112864017E0,-4.378865361E-1
1.224983756E0,2.192423820E0,-7.843672752E0,-1.439282775E0
1.234954901E0,4.031906128E0,-1.354517078E1,-2.967698336E0
1.244925995E0,4.966303349E0,-2.353939247E1,-4.965705395E0
1.254799485E0,3.591028690E0,-3.312145233E1,-5.554937840E0
1.264770631E0,-2.680559635E0,-3.060120964E1,-4.634897232E0
1.274741724E0,-9.258428574E0,-1.664028740E1,-1.396211982E0
1.284612245E0,-5.866004944E0,-1.144187927E1,-4.953143001E-1
1.294583391E0,8.171489239E-1,-1.595952892E1,-1.693520188E0
1.304554485E0,-4.761717021E-1,-2.126800537E1,-3.015554667E0
1.314450006E0,-6.829115868E0,-2.641377068E1,-5.870790482E0
1.324421151E0,-1.365165138E1,-3.015076256E1,-7.586444378E0
1.334392245E0,-1.692862129E1,-2.914936638E1,-4.026522160E0
1.344232818E0,-9.751948357E0,-2.446362114E1,1.274178028E-1
1.354203912E0,-1.324427366E0,-1.979761696E1,1.195813060E0
1.364175006E0,1.229312658E0,-1.934238243E1,4.384847581E-1
1.374070943E0,2.254637241E0,-2.076491547E1,1.526022673E0
1.384042089E0,2.149353027E0,-2.113879395E1,2.091326952E0
1.394013183E0,5.970092416E-1,-2.019960976E1,3.810569942E-1
1.403879537E0,-1.065404296E0,-1.880579185E1,-1.266999602E0
1.413850683E0,-1.822732687E0,-1.690828323E1,-1.975873351E0
1.423821724E0,-2.177468538E0,-1.424447346E1,-2.297109842E0
1.433705058E0,-2.536391973E0,-1.135095215E1,-2.153540373E0
1.443676203E0,-2.392822742E0,-8.935996056E0,-1.837089539E0
1.453647297E0,-1.746162295E0,-7.240083218E0,-1.755733609E0
1.463497610E0,-7.782655358E-1,-6.061617851E0,-1.856232166E0
1.473468756E0,1.322034448E-1,-4.878366947E0,-1.856232166E0
1.483439849E0,1.042074203E0,-3.536591768E0,-1.698305845E0
1.493324016E0,2.149353027E0,-2.209771633E0,-1.578066587E0
1.503295110E0,2.915654421E0,-9.349954724E-1,-1.741376638E0
1.513266256E0,2.829512835E0,1.286142170E-1,-2.167897224E0
1.523145787E0,1.549950838E0,8.422735929E-1,-2.824128866E0
1.533116933E0,3.649054468E-2,1.163509965E0,-3.547359467E0
1.543087974E0,-7.830511928E-1,1.340578914E0,-4.189234257E0
1.552965526E0,-1.396211982E0,1.345364571E0,-4.543970108E0
1.562930006E0,-1.731805444E0,9.332008362E-1,-3.988237143E0
1.572894537E0,-1.731805444E0,3.822534084E-1,-2.574677229E0
1.582766360E0,-1.683948994E0,-7.298108935E-2,-9.122636318E-1
1.592730839E0,-1.612164259E0,-3.888336718E-1,2.422732860E-1
1.602695370E0,-1.386640668E0,-4.654040039E-1,7.166503668E-1
1.612560683E0,-1.070788145E0,-5.617151260E-1,9.846464992E-1
1.622525266E0,-9.026923180E-1,-8.009973764E-1,1.372882009E0
1.632489745E0,-7.208378315E-1,-1.079162955E0,2.000399828E0
1.642369641E0,-3.948157430E-1,-1.639681697E0,2.637488842E0
1.652334172E0,-2.656033039E-1,-2.420340061E0,2.273779631E0
1.662298703E0,-3.134597540E-1,-3.838685751E0,4.671986103E-1
1.672187766E0,-2.464607358E-1,-6.905087948E0,-1.314856052E0
1.682152297E0,1.226321608E-1,-1.175833035E1,-3.135195971E0
1.692116828E0,-1.076770201E-1,-1.767996788E1,-6.340381622E0
1.702010578E0,-6.251249313E-1,-2.397010040E1,-7.356134892E0
1.711975058E0,-2.733201742E0,-2.366382027E1,-2.766701221E0
1.721939589E0,-4.165306091E0,-1.573938942E1,2.302493572E0
1.731847037E0,1.734796353E-2,-1.201196957E1,4.046263218E0
1.741811568E0,2.493919373E0,-1.398126316E1,3.342175007E0
1.751776047E0,-1.238285661E0,-1.937109566E1,1.425524116E0
1.761635995E0,-5.626722336E0,-2.898665428E1,-1.980658889E0
1.771600526E0,-7.040282249E0,-3.690629959E1,-1.453639746E0
1.781565058E0,-6.599404812E0,-3.414139175E1,-1.511067510E0
1.791485891E0,-4.280161381E0,-2.534058952E1,-3.509074450E0
1.801450370E0,-5.485545993E-1,-2.231247330E1,-2.364108801E0
1.811414901E0,1.066002488E0,-2.172802544E1,-7.351947427E-1
1.821280578E0,5.198407173E-1,-1.955773544E1,-3.278166950E-1
1.831245058E0,-9.122636318E-1,-1.637169266E1,-5.341976285E-1
1.841209589E0,-2.230110645E0,-1.334417343E1,-7.112665176E-1
1.851098756E0,-2.685345173E0,-1.070429230E1,-7.064808607E-1
1.861063287E0,-2.354537487E0,-8.538787842E0,-7.447660565E-1
1.871027766E0,-1.616949916E0,-6.669992924E0,-8.117650747E-1
1.880918339E0,-7.543373108E-1,-4.743771076E0,-1.046261668E0
1.890882818E0,7.477571070E-2,-2.851646423E0,-1.310070395E0
1.900847349E0,6.209374666E-1,-1.404586911E0,-1.453639746E0
1.910702870E0,4.863412082E-1,-4.995017350E-1,-1.703091502E0
1.920667401E0,-6.059823632E-1,-1.495514214E-1,-2.220539331E0
1.930631933E0,-1.975873351E0,-7.776673883E-2,-2.819343328E0
1.940549120E0,-2.737987280E0,3.343969584E-1,-3.504288673E0
