"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.727519583E-1,-1.328081727E0,-1.625458002E-1,-1.710106015E0
8.827089584E-1,-1.278067231E0,1.726488769E-1,-1.682783723E0
8.926659583E-1,-1.303935051E0,3.670684397E-1,-1.719793916E0
9.026229583E-1,-1.448495150E0,2.297271192E-1,-1.599652052E0
9.125809583E-1,-1.613785386E0,-5.586071406E-3,-1.422609448E0
9.225379584E-1,-1.732321143E0,-5.277860165E-2,-1.383110762E0
9.324949583E-1,-1.697024226E0,-6.718790531E-2,-1.463189363E0
9.424519583E-1,-1.627042651E0,-8.268597536E-3,-1.505820155E0
9.524089583E-1,-1.593305945E0,2.501190305E-1,-1.491019011E0
9.623659583E-1,-1.507433057E0,2.523697019E-1,-1.320815444E0
9.723229583E-1,-1.539399743E0,-5.720305070E-2,-9.203138351E-1
9.822799583E-1,-1.538407326E0,-8.082012087E-2,-6.185795069E-1
9.922369584E-1,-1.507251382E0,1.946047992E-1,-5.285583138E-1
1.002194958E0,-1.577403307E0,5.925162137E-2,-5.419209003E-1
1.012151958E0,-1.705632925E0,-1.420585811E-1,-6.577910185E-1
1.022108958E0,-1.657768488E0,4.957825691E-2,-9.718598723E-1
1.032065958E0,-1.570106030E0,2.038509250E-1,-1.052538991E0
1.042022958E0,-1.370716214E0,1.683807373E-1,-9.238921404E-1
1.051979958E0,-1.107740760E0,1.276942939E-1,-6.619273424E-1
1.061936958E0,-9.260160923E-1,3.454570174E-1,-5.307601094E-1
1.071893958E0,-7.792239785E-1,3.460953832E-1,-5.606769919E-1
1.081851958E0,-6.967583299E-1,2.685908377E-1,-6.191492677E-1
1.091808958E0,-5.980413556E-1,9.480786324E-2,-6.768050790E-1
1.101765958E0,-3.630423844E-1,-4.601568729E-2,-7.586494088E-1
1.111722958E0,-2.611337975E-2,-7.199029624E-2,-6.852612495E-1
1.121679958E0,2.220052630E-1,-1.075125262E-1,-5.103400946E-1
1.131636958E0,3.871547878E-1,-1.975846291E-1,-2.929947376E-1
1.141593958E0,4.992028773E-1,-2.060280591E-1,-1.309109330E-1
1.151550958E0,5.913821459E-1,-1.637980491E-1,5.118265748E-3
1.161507958E0,6.387019157E-1,-9.706807882E-2,1.750017703E-1
1.171464958E0,6.933457255E-1,-1.077119336E-1,3.579079509E-1
1.181422958E0,7.534700632E-1,-1.614669114E-1,5.431344509E-1
1.191379958E0,8.107245564E-1,-2.437673658E-1,7.278859615E-1
1.201336958E0,8.612295985E-1,-3.036587536E-1,8.899543285E-1
1.211293958E0,9.387331605E-1,-3.096964061E-1,1.041337013E0
