"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.864439583E-1,2.753973083E0,-6.301895142E0,-3.292104034E0
8.964009583E-1,4.613406372E0,-5.924529877E0,-4.731959839E0
9.063579583E-1,5.573659515E0,-5.570815430E0,-7.130422211E0
9.163149584E-1,5.896837463E0,-5.018913116E0,-8.393495636E0
9.262719583E-1,6.665638733E0,-4.961732025E0,-9.541308746E0
9.362289583E-1,6.412964172E0,-5.842051392E0,-9.072633362E0
9.461859583E-1,3.926035767E0,-7.382797394E0,-7.762707367E0
9.561439583E-1,2.029779053E0,-8.667425995E0,-7.317832489E0
9.661009583E-1,2.196981354E0,-9.301956482E0,-6.962621155E0
9.760579583E-1,2.610421600E0,-7.756121063E0,-7.067852325E0
9.860149584E-1,6.779701538E0,-5.364095306E0,-7.972720642E0
9.959719583E-1,1.026101212E1,-3.204087067E0,-9.680668945E0
1.005928958E0,1.111618378E1,-2.806214447E0,-1.070229446E1
1.015885958E0,1.019260437E1,-2.673141174E0,-1.066457291E1
1.025842958E0,1.001836670E1,-3.366050262E0,-9.091943207E0
1.035800958E0,9.419911194E0,-4.721930695E0,-9.140442352E0
1.045757958E0,8.230783997E0,-4.961282959E0,-9.465266876E0
1.055714958E0,8.403375092E0,-3.488196259E0,-8.384065247E0
1.065671958E0,9.907297668E0,-1.522334290E0,-7.979306946E0
1.075628958E0,1.382495087E1,-8.839118958E-1,-8.191864929E0
1.085585958E0,1.416459457E1,2.248324585E-1,-9.179810486E0
1.095542958E0,1.372705444E1,-6.887178040E-1,-1.095736404E1
1.105499958E0,1.325912750E1,-3.419938202E0,-1.142529099E1
1.115456958E0,1.168036057E1,-5.043013000E0,-1.098176331E1
1.125414958E0,1.047401917E1,-5.276826782E0,-1.089030350E1
1.135371958E0,1.023796005E1,-4.633764038E0,-1.186253174E1
1.145328958E0,1.022613464E1,-4.573289795E0,-1.161210251E1
1.155285958E0,1.050949539E1,-4.835843811E0,-1.119402191E1
1.165242958E0,9.851164398E0,-4.733756104E0,-1.149145340E1
1.175199958E0,9.918973389E0,-5.258714447E0,-1.193393326E1
1.185156958E0,1.018377274E1,-5.948480072E0,-1.211849945E1
1.195113958E0,1.027388535E1,-6.396648102E0,-1.262848892E1
1.205070958E0,9.938133545E0,-6.474186859E0,-1.263821869E1
1.215027958E0,9.375753021E0,-6.425238647E0,-1.195683563E1
1.224985958E0,8.740025024E0,-6.356980591E0,-1.135897888E1
1.234942958E0,8.263416138E0,-6.753356323E0,-1.117965179E1
1.244899958E0,8.333620148E0,-6.982080688E0,-1.090617050E1
1.254856958E0,8.765472107E0,-6.658603363E0,-1.027762756E1
1.264813958E0,8.653504944E0,-6.899003448E0,-1.072025711E1
1.274770958E0,8.387957153E0,-7.021299133E0,-1.060918808E1
1.284727958E0,6.966363373E0,-6.550827484E0,-9.981243896E0
1.294684958E0,6.523284760E0,-6.122717743E0,-9.413923645E0
1.304641958E0,6.512956238E0,-6.199208679E0,-9.059610443E0
1.314599958E0,5.854325867E0,-6.431226196E0,-8.805438995E0
1.324556958E0,5.272336121E0,-6.486760712E0,-8.270601196E0
1.334513958E0,5.113366699E0,-6.475683746E0,-7.804769897E0
1.344470958E0,4.952002258E0,-6.429579620E0,-7.407196655E0
1.354427958E0,4.853507080E0,-6.391109619E0,-6.698121185E0
1.364384958E0,4.704866180E0,-6.239025879E0,-6.061944122E0
1.374341958E0,4.510719910E0,-6.053112488E0,-5.939947815E0
1.384298958E0,4.252806244E0,-5.805826721E0,-6.027216339E0
1.394256958E0,4.085454254E0,-5.511239319E0,-5.608387299E0
1.404213958E0,3.956272888E0,-5.283562775E0,-5.209915924E0
1.414170958E0,3.639830933E0,-5.035229187E0,-5.393583984E0
1.424127958E0,3.148552551E0,-4.889132996E0,-5.984854431E0
1.434084958E0,2.832859039E0,-4.797373810E0,-5.676645355E0
1.444041958E0,2.545007629E0,-4.722230072E0,-5.286406860E0
1.453998958E0,2.628833313E0,-4.727618866E0,-5.185067596E0
1.463955958E0,2.800376587E0,-4.776267700E0,-4.840334473E0
1.473912958E0,2.711611176E0,-4.858895874E0,-4.601431274E0
1.483870958E0,2.786156158E0,-4.895868988E0,-4.447102203E0
1.493827958E0,2.854414215E0,-4.984634399E0,-3.972738647E0
1.503784958E0,2.753224640E0,-5.040917358E0,-3.312910767E0
1.513741958E0,2.421514435E0,-5.126838684E0,-3.209924927E0
1.523698958E0,2.115251312E0,-5.215304718E0,-3.253484344E0
1.533655958E0,1.782942352E0,-5.265001373E0,-3.077151031E0
1.543612958E0,1.503772888E0,-5.129682770E0,-2.801723785E0
1.553569958E0,1.338516541E0,-4.795876923E0,-2.641107788E0
1.563526958E0,1.322799225E0,-4.502487030E0,-2.457140350E0
1.573484958E0,1.340013428E0,-4.093687134E0,-2.381098480E0
1.583441958E0,1.226998444E0,-3.616629181E0,-2.434836731E0
1.593398958E0,1.175056458E0,-3.272644501E0,-2.503244476E0
1.603355958E0,1.003363495E0,-3.046015778E0,-2.529739380E0
1.613312958E0,9.671388245E-1,-2.996169434E0,-2.418820038E0
1.623269958E0,9.963281250E-1,-3.013084259E0,-2.215243378E0
1.633226958E0,6.897656250E-1,-2.990780640E0,-2.306254120E0
1.643183958E0,4.288581848E-1,-2.991828461E0,-2.437980194E0
1.653141958E0,1.034349060E-1,-3.074756012E0,-2.484383698E0
1.663098958E0,-2.142045593E-1,-3.163521423E0,-2.328408051E0
1.673055958E0,-4.757107544E-1,-3.211571503E0,-1.888023834E0
1.683012958E0,-5.313949585E-1,-3.154540100E0,-1.502126312E0
1.692969958E0,-5.068460083E-1,-3.054997101E0,-1.306483154E0
