,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
61,-2.055525513,-5.759722595,8.522527313,0.7850431204,-1.340206385,0.168703571,1,Pushups
62,-1.016536102,-5.48654068,8.540789337,0.7151021361,-1.169182897,0.1842916161,1,Pushups
63,-0.1454974365,-4.850513306,8.345445557,0.7149276733,-0.8802349567,0.1803544015,1,Pushups
64,0.3412902832,-4.063599701,7.708370361,0.7098481655,-0.403542459,0.1903033853,1,Pushups
65,0.4279600525,-3.209625549,6.69752243,0.6790519357,0.199176684,0.1720069349,1,Pushups
66,-0.1157093811,-2.481838989,5.416935425,0.6578782797,0.8248327374,0.09488552809,1,Pushups
67,-1.176253967,-2.194137268,4.559069366,0.7078223825,1.486578107,0.001698055305,1,Pushups
68,-2.226769409,-1.999242554,4.058959351,0.8644798398,2.17138052,-0.07389334589,1,Pushups
69,-3.158731384,-1.684147797,3.788471832,1.119033217,2.838776588,-0.05944729596,1,Pushups
70,-4.087250519,-1.278641052,3.860023041,1.366872191,3.119364977,0.1606865376,1,Pushups
71,-5.391638031,-0.6700067139,4.348756714,1.538467884,1.316252828,0.6222283244,1,Pushups
72,-7.583230591,0.4611909485,5.500312042,1.653945804,-1.258280516,1.116495728,1,Pushups
73,-10.44857208,1.489253082,6.57238266,1.885616541,-2.301625013,1.307361603,1,Pushups
74,-12.891492,1.814676361,5.787564697,2.05431819,-2.027716398,0.9947273731,1,Pushups
75,-14.78385681,1.880240021,4.64993042,1.942388773,-1.384541988,0.4757113457,1,Pushups
76,-14.76245132,2.038760376,4.35624115,1.464378119,-1.144465327,0.2761224806,1,Pushups
77,-11.60012741,2.377955017,4.45219162,0.9325312972,-1.057426572,0.3989392221,1,Pushups
78,-7.477250977,2.009571075,4.731959839,0.6243268847,-0.7347486615,0.5667612553,1,Pushups
79,-5.411247253,1.396446075,4.317471771,0.5057730675,-0.2635060847,0.6385025382,1,Pushups
80,-4.656816101,0.5427713013,3.912863159,0.4758839011,0.1278075725,0.6154627204,1,Pushups
81,-4.406835938,-0.3872447205,3.879332886,0.4967899621,0.335000962,0.5493699908,1,Pushups
82,-4.431833954,-1.053958282,3.979774017,0.5672819018,0.3028577864,0.4996255338,1,Pushups
83,-4.445305939,-1.275497589,4.187092896,0.6611381173,0.05420322716,0.4946795106,1,Pushups
84,-4.190535736,-1.196761322,4.549638977,0.7130144238,-0.2066452503,0.5178669095,1,Pushups
85,-3.837719421,-1.101259918,5.203628998,0.6700134277,-0.397372067,0.5375918746,1,Pushups
86,-3.665577393,-1.207987976,6.125711517,0.5386325121,-0.5654903054,0.5322952867,1,Pushups
87,-3.685186615,-1.461111603,7.123386841,0.3632257581,-0.7528918982,0.5049432516,1,Pushups
88,-3.830085297,-1.800156555,8.059839478,0.2054420114,-1.003030658,0.44874385,1,Pushups
89,-4.178860016,-2.16704361,8.79196701,0.1467608511,-1.233148575,0.3807874322,1,Pushups
90,-4.814288635,-2.432292023,9.277257843,0.2426889837,-1.346254468,0.3428766131,1,Pushups
91,-5.651347961,-2.339634705,9.287286987,0.4737408459,-1.346036911,0.3472873271,1,Pushups
92,-6.503525848,-1.873504028,9.098828888,0.7328538895,-1.261410594,0.3658864796,1,Pushups
93,-7.40435257,-1.198258209,9.055419159,0.906835258,-1.132901669,0.3575308025,1,Pushups
94,-8.44214447,-0.4424798584,9.230255585,0.9385561943,-1.034913301,0.3088238537,1,Pushups
95,-9.415869598,0.3670367432,9.526190186,0.8262829185,-1.024039268,0.2354537845,1,Pushups
96,-10.00145187,1.265767822,9.846973114,0.620847106,-1.102877736,0.1960208416,1,Pushups
97,-9.994266815,2.214644623,10.05758514,0.414036423,-1.195138454,0.242053315,1,Pushups
98,-9.320817261,3.179538116,9.987081757,0.2805691957,-1.200606465,0.3472693861,1,Pushups
99,-8.424780579,3.8764888,9.673334198,0.2558968663,-1.050367475,0.4583495855,1,Pushups
100,-7.795788574,4.251309357,9.33264267,0.3034401834,-0.722668469,0.5325331092,1,Pushups
101,-7.567812653,4.455035706,9.095835114,0.3949836791,-0.2619589567,0.5152278543,1,Pushups
102,-7.750432892,4.416565704,9.06230484,0.49783656,0.1935966611,0.4432780445,1,Pushups
103,-8.086783447,3.860023041,9.185947723,0.5816296935,0.3949944973,0.3930052817,1,Pushups
104,-7.992329865,3.029699707,9.572743378,0.5691254139,0.2189306468,0.3751366735,1,Pushups
105,-7.472311249,1.977986755,10.2984343,0.4972165823,-0.178060919,0.3685961962,1,Pushups
106,-6.761289825,0.8078700256,10.88730972,0.4291872084,-0.5148037076,0.3675256073,1,Pushups
107,-6.114933929,-0.07020401001,10.80243622,0.4121261835,-0.6323308945,0.3375493288,1,Pushups
108,-5.723198547,-0.6239025879,10.19245468,0.4261234403,-0.5578215718,0.2540702224,1,Pushups
109,-5.583988037,-0.9533674622,9.539063416,0.4584451616,-0.3487115204,0.1352492869,1,Pushups
110,-5.594915314,-1.09048233,9.220825195,0.4939387441,-0.04715122655,0.05595764518,1,Pushups
111,-5.457201691,-0.8080197144,8.991502075,0.4338466227,0.156191498,-0.01936187409,1,Pushups
112,-5.35661087,-0.2456391907,8.98746048,-1.615163684,-3.148957968,-0.883061111,1,Pushups
113,-10.51323761,-0.503253479,23.86337585,-0.4940314293,-0.9440526366,-0.1889747679,1,Pushups
114,-8.432414703,1.732497253,12.3952739,-0.4997156858,-1.139715195,-0.1683440506,1,Pushups
115,-5.125641174,1.702559509,8.276738434,-0.2663215697,-0.980979383,-0.11332874,1,Pushups
116,-5.437891846,0.7346722412,11.0402916,-0.1651651859,-0.9981541038,-0.1446363926,1,Pushups
117,-4.271068268,0.5704637146,8.799900513,-0.1407858133,-1.056153536,-0.1691057831,1,Pushups
118,-4.21463562,0.3456312561,8.770860901,-0.1350623667,-1.079499125,-0.1724353731,1,Pushups
119,-4.401147766,0.9854008484,8.554560699,-0.1215609312,-1.016438961,-0.1517604589,1,Pushups
120,-4.672533417,1.20514389,8.707243195,-0.08138342202,-0.8657176495,-0.1306959093,1,Pushups
121,-4.556075592,1.179247742,8.945547638,-0.01888995618,-0.6571055651,-0.1242273599,1,Pushups
122,-4.375251617,1.169218597,9.268126831,0.06069352105,-0.4304503202,-0.1437865198,1,Pushups
123,-4.080664215,0.9831555176,9.508227539,0.1332145929,-0.2429456562,-0.1819972992,1,Pushups
124,-3.899989929,0.9901908875,9.548793182,0.1796747446,-0.1111246124,-0.2067184001,1,Pushups
125,-3.842060394,0.9177415466,9.389374695,0.1947927177,-0.01076444797,-0.1972950697,1,Pushups
126,-3.868854675,0.5435197449,9.281000061,0.1864613444,0.08611805737,-0.1448198706,1,Pushups
127,-3.98651001,0.2490820312,9.227411499,0.168432802,0.1810208559,-0.08948577195,1,Pushups
128,-4.123175812,0.1651066589,9.200766907,0.147203669,0.2528670132,-0.04611650854,1,Pushups
129,-4.141737213,0.09520202637,9.167685699,0.1447748691,0.2930777967,-0.02802059427,1,Pushups
130,-4.016597443,0.00853225708,9.140142975,0.1666974872,0.3216152191,-0.05245760456,1,Pushups
131,-3.863316193,0.09056167603,9.127718811,0.2279336751,0.3714043498,-0.09700483084,1,Pushups
