,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
65,-0.08756790161,-1.10919342,-0.3984713745,-0.3362912536,-0.8805050254,0.1665171534,2,Squads
66,0.01841171265,-1.032852173,-0.5828878784,-0.3238574862,-0.7739251852,0.06776301563,2,Squads
67,0.1616638184,-1.18179245,-0.8285270691,-0.4023786783,-0.6968490481,-0.09482376277,2,Squads
68,0.4799020386,-1.53161499,-1.246457977,-0.5798543692,-0.7116991282,-0.33794716,2,Squads
69,0.9815089417,-2.245630188,-1.42982666,-0.8105874062,-0.757488668,-0.589844048,2,Squads
70,1.185534668,-3.114423523,-1.346899109,-1.053188562,-0.7317911983,-0.8014782071,2,Squads
71,1.125359802,-3.908971252,-1.479523315,-1.228433967,-0.506542623,-1.000792146,2,Squads
72,1.069376221,-4.481829987,-1.885329437,-1.270527363,-0.1492058784,-1.183506012,2,Squads
73,0.8012837219,-4.799319763,-2.024539948,-1.192900777,0.03386009112,-1.295045614,2,Squads
74,-0.4104464722,-4.905149689,-1.8884729,-1.196865559,0.1277720481,-1.343195438,2,Squads
75,-2.044598236,-4.998705139,-2.44202179,-1.377018809,0.1279291809,-1.419433951,2,Squads
76,-2.865790558,-5.185366974,-3.46574295,-1.515504122,0.1892499626,-1.445205808,2,Squads
77,-2.699935455,-5.491929474,-2.933749237,-1.453434587,0.4069189131,-1.428416729,2,Squads
78,-1.537752228,-5.768853607,-0.6689588928,-1.347388864,0.6483056545,-1.354157567,2,Squads
79,-0.3201841736,-5.781577148,0.4641847229,-1.39075017,0.8909854293,-1.336395621,2,Squads
80,1.020128632,-5.875581665,-0.9776170349,-1.607692242,0.9951528311,-1.381774426,2,Squads
81,2.607727203,-6.118975525,-4.144880676,-1.637069821,0.8150866628,-1.468060017,2,Squads
82,3.796555023,-6.064339142,-5.516029358,-1.393251061,0.655094862,-1.636008024,2,Squads
83,4.877606964,-5.881718903,-4.883744202,-1.112308025,0.494546175,-1.828583598,2,Squads
84,5.582790527,-6.049070892,-4.6581633,-1.071626902,0.3163734078,-1.964953303,2,Squads
85,5.441334686,-6.651418304,-5.294190674,-1.22236836,0.05200912803,-1.999904037,2,Squads
86,4.452940063,-7.329657898,-6.200855255,-1.318083882,-0.2230115384,-1.856184602,2,Squads
87,2.594853973,-7.456294556,-4.936883698,-1.328081727,-0.1625458002,-1.710106015,2,Squads
88,1.593885498,-6.952891388,-3.697610779,-1.278067231,0.1726488769,-1.682783723,2,Squads
89,2.753973083,-6.301895142,-3.292104034,-1.303935051,0.3670684397,-1.719793916,2,Squads
90,4.613406372,-5.924529877,-4.731959839,-1.44849515,0.2297271192,-1.599652052,2,Squads
91,5.573659515,-5.57081543,-7.130422211,-1.613785386,-0.005586071406,-1.422609448,2,Squads
92,5.896837463,-5.018913116,-8.393495636,-1.732321143,-0.05277860165,-1.383110762,2,Squads
93,6.665638733,-4.961732025,-9.541308746,-1.697024226,-0.06718790531,-1.463189363,2,Squads
94,6.412964172,-5.842051392,-9.072633362,-1.627042651,-0.008268597536,-1.505820155,2,Squads
95,3.926035767,-7.382797394,-7.762707367,-1.593305945,0.2501190305,-1.491019011,2,Squads
96,2.029779053,-8.667425995,-7.317832489,-1.507433057,0.2523697019,-1.320815444,2,Squads
97,2.196981354,-9.301956482,-6.962621155,-1.539399743,-0.0572030507,-0.9203138351,2,Squads
98,2.6104216,-7.756121063,-7.067852325,-1.538407326,-0.08082012087,-0.6185795069,2,Squads
99,6.779701538,-5.364095306,-7.972720642,-1.507251382,0.1946047992,-0.5285583138,2,Squads
100,10.26101212,-3.204087067,-9.680668945,-1.577403307,0.05925162137,-0.5419209003,2,Squads
101,11.11618378,-2.806214447,-10.70229446,-1.705632925,-0.1420585811,-0.6577910185,2,Squads
102,10.19260437,-2.673141174,-10.66457291,-1.657768488,0.04957825691,-0.9718598723,2,Squads
103,10.0183667,-3.366050262,-9.091943207,-1.57010603,0.203850925,-1.052538991,2,Squads
104,9.419911194,-4.721930695,-9.140442352,-1.370716214,0.1683807373,-0.9238921404,2,Squads
105,8.230783997,-4.961282959,-9.465266876,-1.10774076,0.1276942939,-0.6619273424,2,Squads
