X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
-0.8452646136,0.3822534084,0.9224331379,-0.3814865649,0.5075835586,0.1462032348,3,Jumping
-0.8309076428,-0.2213360965,0.8506484628,-0.8256887197,0.4042559266,0.02583190054,3,Jumping
-0.5096712112,-1.00737834,0.941575706,-1.358305216,-0.1592523307,-0.08708280325,3,Jumping
-0.2656033039,-1.960319996,0.7357929349,-1.209172606,-0.3232982159,0.2942706347,3,Jumping
-0.2608176768,-3.622733593,-0.4953143001,-0.7756227851,-0.2945369184,0.9452611804,3,Jumping
-0.2943171859,-6.34875679,-2.196611166,-0.7724270821,-0.8793498874,1.030479789,3,Jumping
-0.1603191197,-11.20738316,-4.222733974,-1.030213475,-1.225550652,0.5745600462,3,Jumping
-0.2033899277,-21.0574379,-4.994419098,-1.252847195,-0.8516538143,0.1185071766,3,Jumping
-0.8452646136,-33.43251801,-3.489931822,-1.306108832,-0.6684337258,0.002396774245,3,Jumping
-3.413361549,-35.46402359,-3.082553864,-1.103714585,-0.7493914366,0.2292914093,3,Jumping
-3.489931822,-21.58924294,-4.395615101,-0.6243597269,-0.6013240218,0.768432498,3,Jumping
1.262812138,-9.903892517,-3.49471736,-0.2057231218,-0.2497971505,1.027284145,3,Jumping
3.773481369,-6.15733099,-1.085145116,-0.1268958896,0.07935985923,0.4722976983,3,Jumping
1.775474429,-10.67557812,-1.736590981,0.05951989442,0.559779942,-0.3246297538,3,Jumping
-2.900699139,-18.77229118,-4.68275404,0.4174381793,0.9635032415,-0.7347444892,3,Jumping
-8.851051331,-24.23390961,-7.198208809,0.8339443207,0.9709599018,-0.9424648881,3,Jumping
-16.37288857,-26.22234535,-5.535795212,1.278146505,0.6652380228,-1.091597557,3,Jumping
-18.01615906,-24.56950378,-2.421536446,1.593455434,0.2945369184,-1.137402534,3,Jumping
-9.085547447,-22.29811668,-3.854238987,1.7393924,0.1784265339,-1.166163802,3,Jumping
0.06999006122,-20.90908241,-4.951348305,1.786262631,0.254058063,-1.250317216,3,Jumping
1.459023595,-21.98226357,-2.612962246,1.808632493,0.3456681073,-1.2833395,3,Jumping
0.4001995921,-23.40958214,0.328414917,1.771349311,0.4276910722,-1.173620462,3,Jumping
-0.6442674994,-23.87917328,0.4671986103,1.658434629,0.429821521,-1.013835549,3,Jumping
-2.038086653,-23.88395882,-0.5868397355,1.431540012,0.3946688473,-0.8455287218,3,Jumping
-3.149552822,-23.10808563,-0.9218349457,1.162036061,0.2167749256,-0.7208964229,3,Jumping
-3.082553864,-21.63709831,-0.7974081635,0.894662559,0.04420717061,-0.6111774445,3,Jumping
-2.704487801,-19.90768623,-0.8021938205,0.7433995008,-0.04740286991,-0.4908061028,3,Jumping
-2.819343328,-18.31227112,-1.266999602,0.7210295796,-0.0868164897,-0.3459344208,3,Jumping
-2.455035925,-16.44347763,-1.472782373,0.759378016,-0.1954702586,-0.2468677461,3,Jumping
-1.96151638,-14.80499172,-2.263610125,0.7529866099,-0.4639089704,-0.228758797,3,Jumping
-1.128215909,-12.61077309,-2.641676188,0.6358109713,-0.7824136615,-0.2958684862,3,Jumping
-0.471386075,-10.30648518,-2.97726965,0.3450023532,-0.855914712,-0.3672390878,3,Jumping
-0.1555334777,-7.762316704,-2.723630428,-0.07043853402,-0.6066502333,-0.2916075289,3,Jumping
-0.01674975827,-5.280361176,-1.999801517,-0.4571181238,-0.16031757,-0.09240896255,3,Jumping
0.7453642488,-2.961716175,-1.420140266,-0.7404701114,0.2029268891,0.05885412544,3,Jumping
2.072184324,-1.141376376,-0.9218349457,-0.9481905699,0.1848179251,0.1653774232,3,Jumping
3.342175007,-0.2165504545,-0.8835497499,-1.054713845,-0.06870753318,0.3549889028,3,Jumping
3.83569479,-0.494716078,-2.148754835,-1.042996287,-0.2412752807,0.6043865681,3,Jumping
2.575275421,-0.8536394835,-4.012165546,-0.8501890898,-0.3999949992,0.7513887286,3,Jumping
0.0652044192,-0.6765705943,-5.827719688,-0.5529890656,-0.5406057835,0.7407364249,3,Jumping
-1.410568953,-0.02033899166,-6.508477688,-0.3367467821,-0.5608451962,0.704518497,3,Jumping
-2.426322222,-0.1064806059,-5.856433392,-0.2536586225,-0.5075835586,0.6469959021,3,Jumping
-4.429114819,0.03708875179,-4.548755646,-0.2589847744,-0.4308867455,0.5191679597,3,Jumping
-6.172883987,0.3918247223,-3.451646566,-0.2802894413,-0.3264939189,0.3390104175,3,Jumping
-6.048457623,0.2099701911,-0.8835497499,-0.2738980353,-0.1858831644,0.1834863871,3,Jumping
-3.863810301,-0.3840480447,1.828116536,-0.2664414048,-0.009054481052,0.1067896113,3,Jumping
-1.72223413,-0.5330012441,2.613560438,-0.2685718834,0.1826874614,0.05778888986,3,Jumping
-0.01674975827,-0.3218346536,2.666202545,-0.261115253,0.2732322812,0.006657706574,3,Jumping
1.415952802,-0.1256231815,2.772084951,-0.2259625494,0.2274272442,-0.02316881903,3,Jumping
2.278565407,0.162113741,2.910868645,-0.1588528752,0.08362079412,0.005592473317,3,Jumping
2.374278307,0.4348955154,2.656631231,-0.06617759913,-0.1091863886,0.09507204592,3,Jumping
1.622333765,0.9188438654,1.780260086,0.001997311832,-0.2838846147,0.1685731262,3,Jumping
0.5970092416,1.599003673,0.5491527915,0.04993279651,-0.3595161438,0.1898777932,3,Jumping
-0.2703889608,1.728814363,-0.2895315289,0.09360735118,-0.3094501793,0.1941387206,3,Jumping
-1.171286702,1.244866014,-0.5192425251,0.1191729456,-0.1155777797,0.1834863871,3,Jumping
-2.143969059,0.5258227587,-0.4474578202,0.1330209672,0.1624480337,0.1270290315,3,Jumping
-2.723630428,-0.2069791555,-0.4809573591,-0.08641702682,0.1965354979,-0.02742975019,3,Jumping
-2.522035122,-1.112662554,-0.7543373108,-0.6030550599,0.07190322876,-0.319303602,3,Jumping
-1.875374794,-2.26241374,-0.9218349457,-0.9907998443,-0.006924014539,-0.5302197337,3,Jumping
-0.9696913958,-3.503092289,-0.418743968,-1.071757555,-0.5672366023,-0.07536523789,3,Jumping
0.4671986103,-5.112864017,-0.4378865361,-0.8011884093,-1.46735847,0.8216941357,3,Jumping
2.19242382,-7.843672752,-1.439282775,-0.5955983996,-1.654839516,0.967631042,3,Jumping
4.031906128,-13.54517078,-2.967698336,-0.8171668649,-0.886806488,0.2719007432,3,Jumping
4.966303349,-23.53939247,-4.965705395,-0.9322120547,-0.04207670316,-0.219171688,3,Jumping
3.59102869,-33.12145233,-5.55493784,-0.7340787053,0.3041240275,-0.1765623689,3,Jumping
-2.680559635,-30.60120964,-4.634897232,-0.5860112906,0.4681699276,0.1653774232,3,Jumping
-9.258428574,-16.6402874,-1.396211982,-0.5284887552,0.4745613039,0.4563191831,3,Jumping
-5.866004944,-11.44187927,-0.4953143001,-0.3921388984,0.4362129271,0.1813559234,3,Jumping
0.8171489239,-15.95952892,-1.693520188,-0.02995967865,0.7472609878,-0.2745638192,3,Jumping
-0.4761717021,-21.26800537,-3.015554667,0.4589822888,1.211702585,-0.5046541691,3,Jumping
-6.829115868,-26.41377068,-5.870790482,0.8989235163,1.07322228,-0.6559172273,3,Jumping
-13.65165138,-30.15076256,-7.586444378,1.239798069,0.6588466167,-0.7741581202,3,Jumping
-16.92862129,-29.14936638,-4.02652216,1.440061927,0.472430855,-0.7453967929,3,Jumping
-9.751948357,-24.46362114,0.1274178028,1.44325757,0.3914731443,-0.6292864084,3,Jumping
-1.324427366,-19.79761696,1.19581306,1.270689845,0.2657756507,-0.537676394,3,Jumping
1.229312658,-19.34238243,0.4384847581,1.062969446,0.1965354979,-0.4236964285,3,Jumping
2.254637241,-20.76491547,1.526022673,0.9287500381,0.2018616647,-0.2447372824,3,Jumping
2.149353027,-21.13879395,2.091326952,0.8435314298,0.1954702586,-0.08495233208,3,Jumping
0.5970092416,-20.19960976,0.3810569942,0.7391385436,0.1720351279,-0.007190322969,3,Jumping
-1.065404296,-18.80579185,-1.266999602,0.6187672615,0.145404309,-0.003994623665,3,Jumping
-1.822732687,-16.90828323,-1.975873351,0.5314181447,0.1209039465,-0.02956021577,3,Jumping
-2.177468538,-14.24447346,-2.297109842,0.4866783321,0.06444659829,-0.06364767253,3,Jumping
-2.536391973,-11.35095215,-2.153540373,0.4461994767,-0.05166380107,-0.1233007237,3,Jumping
-2.392822742,-8.935996056,-1.837089539,0.3663070202,-0.1507304758,-0.2053236663,3,Jumping
-1.746162295,-7.240083218,-1.755733609,0.2406095117,-0.1432738453,-0.2564548552,3,Jumping
-0.7782655358,-6.061617851,-1.856232166,0.06378082931,-0.04846810177,-0.2234326303,3,Jumping
0.1322034448,-4.878366947,-1.856232166,-0.1258306503,0.05698996782,-0.1744319052,3,Jumping
1.042074203,-3.536591768,-1.698305845,-0.2792242169,0.1432738453,-0.1403444558,3,Jumping
2.149353027,-2.209771633,-1.578066587,-0.4059869349,0.2093182951,-0.05512581021,3,Jumping
2.915654421,-0.9349954724,-1.741376638,-0.4699009061,0.1986659616,0.0705716908,3,Jumping
2.829512835,0.128614217,-2.167897224,-0.4209001958,0.07296846062,0.1781602204,3,Jumping
1.549950838,0.8422735929,-2.824128866,-0.3026593328,-0.1624480337,0.2559222281,3,Jumping
0.03649054468,1.163509965,-3.547359467,-0.2067883611,-0.4181039631,0.3262276053,3,Jumping
-0.7830511928,1.340578914,-4.189234257,-0.1599181145,-0.5491276383,0.3709673882,3,Jumping
-1.396211982,1.345364571,-4.543970108,-0.1343525201,-0.5299534202,0.3741630912,3,Jumping
-1.731805444,0.9332008362,-3.988237143,-0.1066564545,-0.3978645205,0.3400756419,3,Jumping
-1.731805444,0.3822534084,-2.574677229,-0.04913387448,-0.2242315561,0.2782921195,3,Jumping
-1.683948994,-0.07298108935,-0.9122636318,0.05845466256,-0.1123820841,0.1983996481,3,Jumping
-1.612164259,-0.3888336718,0.242273286,0.1681736708,-0.08149032295,0.1430075318,3,Jumping
-1.386640668,-0.4654040039,0.7166503668,0.2256962508,-0.0708379969,0.1366161406,3,Jumping
-1.070788145,-0.561715126,0.9846464992,0.1798912287,-0.08042509109,0.1387466043,3,Jumping
-0.902692318,-0.8009973764,1.372882009,-0.01398118306,-0.0037283157,0.1025286764,3,Jumping
-0.7208378315,-1.079162955,2.000399828,-0.4262263775,0.1901440918,0.07270215452,3,Jumping
-0.394815743,-1.639681697,2.637488842,-0.8555153012,0.1038602218,0.08548495173,3,Jumping
-0.2656033039,-2.420340061,2.273779631,-0.848058641,-0.3829512596,0.3944025338,3,Jumping
-0.313459754,-3.838685751,0.4671986103,-0.415574044,-0.5640408993,0.8547163606,3,Jumping
-0.2464607358,-6.905087948,-1.314856052,-0.09067796171,-0.272167027,0.6544525623,3,Jumping
0.1226321608,-11.75833035,-3.135195971,-0.05659050494,-0.2924064696,0.08974587917,3,Jumping
-0.1076770201,-17.67996788,-6.340381622,0.1010639817,-0.2764279842,-0.103061296,3,Jumping
-0.6251249313,-23.9701004,-7.356134892,0.2683055699,0.2838846147,-0.03169068322,3,Jumping
-2.733201742,-23.66382027,-2.766701221,0.429155767,0.3797555864,-0.06471290439,3,Jumping
-4.165306091,-15.73938942,2.302493572,0.4195686579,-0.0260982085,-0.1637795717,3,Jumping
0.01734796353,-12.01196957,4.046263218,0.3055887222,-0.03355484083,-0.2681724131,3,Jumping
2.493919373,-13.98126316,3.342175007,0.3663070202,0.1315562725,-0.4758928418,3,Jumping
-1.238285661,-19.37109566,1.425524116,0.5399399996,0.24234052,-0.6292864084,3,Jumping
-5.626722336,-28.98665428,-1.980658889,0.6784203053,0.4074516296,-0.669765234,3,Jumping
-7.040282249,-36.90629959,-1.453639746,0.7125077248,0.5203663111,-0.6484606266,3,Jumping
-6.599404812,-34.14139175,-1.51106751,0.6762897968,0.466039449,-0.5760247707,3,Jumping
-4.280161381,-25.34058952,-3.50907445,0.6198324561,0.3105154335,-0.4801537991,3,Jumping
-0.5485545993,-22.3124733,-2.364108801,0.5473966002,0.1794917583,-0.3949351311,3,Jumping
1.066002488,-21.72802544,-0.7351947427,0.4675041437,0.09640359133,-0.3363473415,3,Jumping
0.5198407173,-19.55773544,-0.327816695,0.4078511,0.09107742459,-0.2894770801,3,Jumping
-0.9122636318,-16.37169266,-0.5341976285,0.3833507299,0.1432738453,-0.2532591522,3,Jumping
-2.230110645,-13.34417343,-0.7112665176,0.3492632806,0.1901440918,-0.2319544852,3,Jumping
-2.685345173,-10.7042923,-0.7064808607,0.2491313666,0.2370143533,-0.1957365721,3,Jumping
-2.354537487,-8.538787842,-0.7447660565,0.07762885839,0.2924064696,-0.1126483902,3,Jumping
-1.616949916,-6.669992924,-0.8117650747,-0.1098521575,0.2785584331,-0.01358172111,3,Jumping
-0.7543373108,-4.743771076,-1.046261668,-0.2866808474,0.2529928386,0.0929415822,3,Jumping
0.0747757107,-2.851646423,-1.310070395,-0.4517919421,0.2849498391,0.2218347788,3,Jumping
0.6209374666,-1.404586911,-1.453639746,-0.5497934222,0.2380795777,0.3379451632,3,Jumping
0.4863412082,-0.499501735,-1.703091502,-0.4975969791,0.02183727734,0.4158403277,3,Jumping
-0.6059823632,-0.1495514214,-2.220539331,-0.3569862247,-0.1699046642,0.4477973282,3,Jumping
-1.975873351,-0.07776673883,-2.819343328,-0.2557890713,-0.1858831644,0.4573844373,3,Jumping
-2.73798728,0.3343969584,-3.504288673,-0.1790923029,-0.05912043154,0.4232969582,3,Jumping
-3.15433836,0.8327022791,-4.08873558,-0.09919982404,0.1752308309,0.3613803089,3,Jumping
-3.116053343,0.5928218365,-3.657429457,-0.04700340703,0.3925383687,0.3027924895,3,Jumping
-2.426322222,0.06101697683,-1.731805444,-0.03635107726,0.4617785215,0.2484655976,3,Jumping
-1.233500123,-0.1064806059,0.03170489892,-0.0171768833,0.3403419554,0.2015953511,3,Jumping
-0.366101861,0.07118647546,0.4863412082,0.07123745978,0.1486000121,0.1600512564,3,Jumping
0.2518445849,0.2243271172,0.7118647099,0.1980001926,0.04207670316,0.09187635034,3,Jumping
0.836291492,0.1190429255,0.917647481,0.2768274248,0.06764229387,0.02689713426,3,Jumping
1.353739381,-0.1351944804,0.8315058947,0.2374138087,0.07722939551,-0.0221035853,3,Jumping
1.674975872,-0.2787638307,0.5730810165,0.07017222792,0.07616416365,-0.06684337556,3,Jumping
1.540379524,-0.4175475538,0.6113662124,-0.1758965999,0.02396774292,-0.07536523789,3,Jumping
1.056431174,-0.6478567123,0.8506484628,-0.6360772848,-0.1954702586,-0.03701684624,3,Jumping
0.7070791125,-1.012163997,0.8458628058,-1.152715325,-0.6609770656,-0.07536523789,3,Jumping
0.4671986103,-1.917249203,0.1800599098,-1.046191931,-0.8708279729,-0.0977351293,3,Jumping
0.3714857101,-3.929612875,-0.6155536175,-0.6232944727,-0.8101097345,0.3123795986,3,Jumping
0.3954139352,-7.125227451,-1.530210137,-0.5465977192,-1.109440207,0.4403406978,3,Jumping
0.27577281,-11.52802086,-3.518645763,-0.6456643939,-1.133940578,-0.03488638252,3,Jumping
0.03649054468,-18.08674812,-3.978665829,-0.5018579364,-0.4159734845,-0.186149478,3,Jumping
0.3858426511,-26.05424881,-2.287538528,-0.2440715134,0.3307548463,0.03541899845,3,Jumping
0.9224331379,-27.41038132,-0.02153540403,-0.07043853402,0.1475347728,0.1515294015,3,Jumping
-1.109073281,-19.16471481,0.8219345808,-0.0576557368,-0.2636451721,-0.02636451647,3,Jumping
-1.195214868,-12.71605778,1.032503009,-0.01930734888,0.0005326165119,-0.2681724131,3,Jumping
-0.1316052526,-15.79203129,-0.390030086,0.350328505,0.2924064696,-0.4247616827,3,Jumping
-4.208376884,-23.76431847,-3.07298255,0.7668346167,0.3073197305,-0.5536548495,3,Jumping
-9.354142189,-31.23830032,-4.865206718,0.9042496681,0.2817541361,-0.6292864084,3,Jumping
-12.01316643,-33.06342697,-3.120838881,0.8616403341,0.3488638103,-0.6559172273,3,Jumping
-10.21196842,-28.11446953,-1.698305845,0.7817478776,0.4319519997,-0.5621767044,3,Jumping
-5.324628353,-23.96052933,-2.359323025,0.6816160083,0.4042559266,-0.3885437548,3,Jumping
-1.693520188,-22.60499573,-0.4378865361,0.5580489635,0.3009283245,-0.2543243766,3,Jumping
0.5635097623,-21.63709831,0.888933599,0.4323514402,0.2114487588,-0.1797580719,3,Jumping
1.11445713,-20.50649071,0.09870393574,0.3109148741,0.16031757,-0.1414096802,3,Jumping
0.1513460279,-19.07378769,-1.080359459,0.1756303012,0.1027949899,-0.1243659556,3,Jumping
-1.827518344,-16.941782,-1.578066587,0.04567186534,0.04207670316,-0.1137136221,3,Jumping
-2.938984394,-14.21097374,-1.310070395,-0.0384815447,0.01225017942,-0.09666989744,3,Jumping
-2.359323025,-11.63809109,-0.8356932998,-0.09067796171,-0.004793548491,-0.08282186836,3,Jumping
-1.247856975,-9.602396965,-0.6251249313,-0.164179042,-0.00798924733,-0.09134373069,3,Jumping
-0.3996013701,-7.968697548,-0.5485545993,-0.2760285139,-0.01970681176,-0.05406057462,3,Jumping
-0.04067798331,-6.459424496,-0.418743968,-0.4081174135,0.01970681176,0.09507204592,3,Jumping
0.1752742529,-4.940580368,-0.500099957,-0.4944012761,0.1219691783,0.2282261699,3,Jumping
0.4959124923,-3.273381472,-0.7686942816,-0.5295539498,0.181622237,0.307053417,3,Jumping
1.032503009,-1.677966833,-1.133001566,-0.542336762,0.1240996495,0.4105141759,3,Jumping
1.722832322,-0.5760720372,-1.549352646,-0.484814167,-0.04420717061,0.4967980385,3,Jumping
1.57866478,0.02751746029,-1.889731646,-0.3655080795,-0.1762960702,0.5234288573,3,Jumping
-0.2129612118,0.6652047038,-2.752344131,-0.2472672164,-0.1901440918,0.5117112994,3,Jumping
-1.746162295,0.9044869542,-3.763311863,-0.160983339,-0.142208606,0.5010589957,3,Jumping
-2.052443504,0.679561615,-4.24666214,-0.1077216864,-0.09001219273,0.471232444,3,Jumping
-2.268395901,0.4636093974,-3.921238184,-0.07256899774,-0.05059856921,0.4167724252,3,Jumping
-2.249253273,0.2147558331,-2.431107759,-0.06085143611,0.0005326165119,0.3464670479,3,Jumping
-1.621735573,-0.1016949639,-0.8165507317,-0.07682993263,0.06444659829,0.270835489,3,Jumping
-0.5964110494,-0.4031906128,0.2231307179,-0.09706936032,0.142208606,0.2026605755,3,Jumping
0.04606183618,-0.5330012441,0.994217813,-0.1098521575,0.1826874614,0.1579207927,3,Jumping
0.352343142,-0.6478567123,1.411167145,-0.09600412846,0.1560566425,0.1312899739,3,Jumping
0.3332005441,-0.7914260626,1.583450437,-0.04061200842,0.1123820841,0.1142462417,3,Jumping
