"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.760605417E-1,2.976709900E0,-2.282528458E1,-3.314707031E0
8.860175416E-1,2.687810669E0,-2.361399445E1,-2.855162659E0
8.959745417E-1,1.604513397E0,-2.320684113E1,-1.348845062E0
9.059315417E-1,3.927832031E-1,-2.170037384E1,-9.024732971E-1
9.158885417E-1,-2.860551453E-1,-1.951357132E1,-1.101858673E0
9.258465416E-1,-4.567002869E-1,-1.746762589E1,-8.954379272E-1
9.358035417E-1,-2.176473999E-1,-1.574261307E1,-9.636959839E-1
9.457605417E-1,3.305126953E-1,-1.423060730E1,-1.095871124E0
9.557175417E-1,7.671546936E-1,-1.284104691E1,-8.860075378E-1
9.656745417E-1,8.732839966E-1,-1.145238464E1,-5.523513794E-1
9.756325417E-1,7.695497131E-1,-9.916578369E0,-3.348536682E-1
9.855895417E-1,5.761518860E-1,-8.269253998E0,-1.640588379E-1
9.955465416E-1,3.213816833E-1,-6.759942627E0,4.493655396E-1
1.005503542E0,-1.261875916E-1,-5.367388458E0,9.958790588E-1
1.015460542E0,-3.351530457E-1,-3.890709229E0,8.460406494E-1
1.025417542E0,-1.625619507E-1,-2.309996338E0,1.639091492E-1
1.035375542E0,2.878514099E-1,-8.608598328E-1,-5.929170227E-1
1.045332542E0,7.607180786E-1,4.770579529E-1,-7.682025146E-1
1.055289542E0,1.068478088E0,1.781295776E0,-3.158432007E-1
1.065246542E0,9.892927551E-1,2.770588531E0,-1.782792664E-1
1.075203542E0,7.550299072E-1,2.979553986E0,-7.189549255E-1
1.085161542E0,1.109193420E0,2.499053192E0,-1.133592682E0
1.095118542E0,1.709894257E0,1.656455383E0,-9.657916260E-1
1.105075542E0,1.628164215E0,5.099894714E-1,-5.755531311E-1
1.115032542E0,5.284011841E-1,-7.795788574E-1,-2.300715637E-1
1.124989542E0,-2.659968567E-1,-1.307530975E0,-6.730004883E-1
1.134946542E0,-4.071533203E-1,-1.279389496E0,-1.605710907E0
