"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.428825417E-1,-3.996494114E-1,-7.047006488E-1,1.531179808E-2
7.528395416E-1,-3.435511589E-1,-5.658162236E-1,-5.396337807E-2
7.627965417E-1,-2.123832852E-1,-4.626378715E-1,-2.001903653E-1
7.727535417E-1,-6.288523972E-2,-3.275758922E-1,-3.572848141E-1
7.827105417E-1,6.724826247E-2,-2.204260081E-1,-5.271084905E-1
7.926685417E-1,2.333157957E-1,-1.363790035E-1,-7.419602275E-1
8.026255417E-1,4.227786958E-1,-7.417314500E-2,-9.347760081E-1
8.125825417E-1,4.262342751E-1,5.532513186E-2,-9.412275553E-1
8.225395416E-1,1.898257285E-1,7.758836448E-2,-7.203175426E-1
8.324965417E-1,7.142439485E-2,1.226753518E-1,-5.081079006E-1
8.424545417E-1,6.649035215E-2,2.057172358E-1,-1.820341647E-1
8.524115417E-1,8.388851583E-2,2.242989093E-1,2.702210844E-2
8.623685417E-1,-3.482868429E-3,2.708483040E-1,5.832703412E-2
8.723255417E-1,-8.697044849E-2,6.646167487E-2,3.671711683E-2
8.822825417E-1,-7.424213737E-2,-1.077218428E-1,2.387641929E-2
8.922395417E-1,-1.488642767E-3,-9.897473454E-2,7.302781194E-2
9.021975417E-1,3.801003098E-2,-1.057775095E-1,1.860550344E-1
9.121545417E-1,5.982417241E-2,-1.584456861E-1,2.987900376E-1
9.221115417E-1,1.181127802E-1,-1.056117564E-1,3.883244395E-1
9.320685416E-1,1.833779514E-1,-3.872896079E-3,4.467372000E-1
9.420255417E-1,2.279723138E-1,1.368931960E-2,4.448710978E-1
9.519835417E-1,2.794104815E-1,-1.029995084E-2,4.046400189E-1
9.619405417E-1,3.702522218E-1,-5.267457291E-2,3.555113375E-1
9.718975417E-1,4.381512403E-1,-9.922066331E-2,3.373034000E-1
9.818545417E-1,4.569864571E-1,-1.238216087E-1,3.328135908E-1
9.918115417E-1,4.940727949E-1,-1.545496285E-1,3.493227959E-1
1.001768542E0,5.415378213E-1,-1.743446290E-1,4.002570808E-1
1.011726542E0,5.476507545E-1,-2.124410123E-1,4.551628828E-1
1.021683542E0,4.810006022E-1,-2.503969371E-1,4.925470054E-1
1.031640542E0,3.442941308E-1,-2.456104755E-1,5.005189180E-1
1.041597542E0,2.250742614E-1,-2.278708965E-1,4.796165228E-1
1.051554542E0,1.717674732E-1,-1.733865887E-1,4.240858555E-1
1.061512542E0,1.654954702E-1,-7.405973971E-2,3.450232446E-1
1.071469542E0,1.392630339E-1,-3.660598770E-2,2.160895765E-1
1.081426542E0,9.771080315E-2,-1.861976087E-1,-6.292096339E-3
1.091383542E0,4.340669885E-2,-3.712007999E-1,-2.801753581E-1
1.101340542E0,4.035578296E-2,-4.431455731E-1,-5.118192434E-1
1.111297542E0,7.249765843E-2,-3.601128459E-1,-6.250408292E-1
1.121255542E0,1.671322063E-2,-2.185652852E-1,-6.656265855E-1
1.131212542E0,-1.749426872E-1,-8.976540715E-2,-6.811621785E-1
1.141169542E0,-3.711880744E-1,-1.076908782E-1,-7.015710473E-1
1.151126542E0,-3.617990017E-1,-3.302848339E-1,-6.857876182E-1
1.161083542E0,-3.294567764E-1,-3.755766749E-1,-6.039063334E-1
1.171041542E0,-4.564882219E-1,-4.032444358E-1,-5.355415940E-1
1.180998542E0,-6.104367971E-1,-7.209585309E-1,-5.221722126E-1
1.190955542E0,-6.369598508E-1,-8.215869069E-1,-4.576172233E-1
1.200912542E0,-2.386052907E-1,-6.090264320E-1,-3.740411103E-1
1.210869542E0,1.008838713E-1,-2.917558551E-1,-3.246347010E-1
1.220826542E0,4.984439164E-2,-1.555189341E-1,-2.409720272E-1
1.230784542E0,-1.011257339E-2,-4.411409423E-2,-1.548555344E-1
1.240741542E0,-1.134469509E-1,1.526112109E-1,-1.108747721E-1
1.250698542E0,-1.239039823E-1,3.416806161E-1,1.194411423E-3
1.260655542E0,1.074469462E-1,5.399892330E-1,1.422852278E-1
1.270612542E0,3.399609029E-1,7.075670958E-1,2.481811643E-1
1.280570542E0,4.989284277E-1,7.673553228E-1,3.138533831E-1
1.290527542E0,5.759765506E-1,7.831907272E-1,3.340877891E-1
1.300484542E0,4.649458528E-1,6.708452702E-1,3.499937654E-1
1.310441542E0,2.066571712E-1,4.264760017E-1,3.336499333E-1
1.320398542E0,-6.734269112E-2,2.155331373E-1,3.125070930E-1
1.330355542E0,-2.358131111E-1,1.480088681E-1,2.755009830E-1
1.340313542E0,-2.736201286E-1,2.014201581E-1,2.821514010E-1
1.350270542E0,-2.014244348E-1,2.400161475E-1,3.456392884E-1
1.360227542E0,-7.802047580E-2,3.716990650E-1,4.641627371E-1
1.370184542E0,-1.850260887E-3,6.080280542E-1,5.515474081E-1
1.380141542E0,-2.371348254E-2,7.244891524E-1,5.726029277E-1
1.390099542E0,-3.478767350E-2,7.568105459E-1,5.329695344E-1
1.400056542E0,-8.904676884E-3,7.943166494E-1,4.936186075E-1
1.410013542E0,-2.246066555E-2,8.349050283E-1,4.534213841E-1
1.419970542E0,-8.357461542E-2,8.810554743E-1,4.118191004E-1
1.429927542E0,-1.510556936E-1,8.622149229E-1,3.825482428E-1
1.439884542E0,-1.638330072E-1,6.729113460E-1,3.322459161E-1
1.449842542E0,-1.446546763E-1,4.482856989E-1,2.496665716E-1
1.459799542E0,-2.104741633E-1,3.700468242E-1,1.403643191E-1
1.469756542E0,-2.668550014E-1,3.292570412E-1,-5.390339717E-2
1.479713542E0,-2.930477262E-1,3.079568148E-1,-2.958680689E-1
1.489670542E0,-1.801026464E-1,3.850947320E-1,-5.300957561E-1
1.499628542E0,1.128595881E-2,6.335657835E-1,-6.773232818E-1
1.509585542E0,6.726839393E-2,7.835921645E-1,-6.738216281E-1
1.519542542E0,4.304428399E-2,3.728860915E-1,-5.942037702E-1
1.529499542E0,-1.394541003E-2,-1.449036598E-1,-4.805413783E-1
1.539456542E0,-6.724166125E-2,-4.836106002E-1,-3.021657765E-1
1.549413542E0,-1.155629233E-1,-6.687371135E-1,-1.535026878E-1
