"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.992705350E-1,6.120840549E0,-3.690330744E0,6.867999077E0
8.092505870E-1,5.694319725E0,-3.857828379E0,6.824928284E0
8.192305350E-1,5.062016487E0,-3.929612875E0,6.993024349E0
8.290872010E-1,4.802993298E0,-3.991826296E0,7.050451756E0
8.390672010E-1,5.014159679E0,-4.106681824E0,7.069594383E0
8.490472010E-1,5.522036552E0,-4.197608948E0,7.261020184E0
8.589034510E-1,5.910272121E0,-4.149752617E0,7.184450150E0
8.688834510E-1,6.005984783E0,-3.958326817E0,7.160521984E0
8.788634510E-1,5.622535229E0,-3.685544968E0,7.122236729E0
8.886899620E-1,4.870590687E0,-3.617947817E0,6.939784050E0
8.986699620E-1,4.362713814E0,-3.742972851E0,7.060023308E0
9.086499100E-1,4.041477680E0,-3.833899975E0,7.351947784E0
9.185226700E-1,3.806980848E0,-3.881756544E0,7.534400463E0
9.285026180E-1,3.830909014E0,-3.977469444E0,7.725826263E0
9.384826180E-1,4.141975880E0,-3.853042603E0,7.572685242E0
9.483039200E-1,4.678566456E0,-3.685544968E0,7.174878597E0
9.582839200E-1,5.330012321E0,-3.560520172E0,6.906284332E0
9.682638680E-1,5.871388435E0,-3.637090445E0,6.738786697E0
9.781257950E-1,6.116054535E0,-3.867399693E0,6.877570629E0
9.881057950E-1,5.823532104E0,-3.977469444E0,7.222734928E0
9.980857430E-1,4.985445976E0,-4.063611031E0,7.505686283E0
1.007942149E0,4.055834293E0,-3.991826296E0,7.912466049E0
1.017922149E0,3.552743435E0,-3.503092289E0,8.281558990E0
1.027902097E0,3.624528170E0,-3.187239647E0,7.926823139E0
1.037749806E0,4.491926193E0,-3.067000389E0,7.673183918E0
1.047721264E0,5.651248932E0,-3.043072224E0,7.572685242E0
1.057692774E0,6.388836384E0,-2.956930637E0,7.428517818E0
1.067595899E0,6.542575359E0,-3.019144058E0,7.313662529E0
1.077567358E0,6.092126369E0,-3.311666489E0,7.481160164E0
1.087538868E0,5.253442287E0,-3.685544968E0,7.438089371E0
1.097376108E0,4.668995380E0,-4.168895245E0,7.366304398E0
1.107347566E0,4.343571186E0,-4.418346882E0,7.500302792E0
1.117319076E0,4.453640938E0,-4.255635262E0,7.610970497E0
1.127222097E0,4.975874901E0,-3.891327858E0,7.855038643E0
1.137193556E0,5.612963676E0,-3.450450182E0,8.008178711E0
1.147165066E0,6.087340832E0,-2.937788010E0,7.610970497E0
1.157004493E0,6.254838467E0,-2.813361168E0,7.265805721E0
1.166975951E0,6.230910301E0,-3.081357241E0,7.409375191E0
1.176947462E0,5.718247890E0,-3.445664644E0,7.385447025E0
1.186819806E0,4.999803066E0,-3.939184189E0,7.591827869E0
1.196791264E0,4.697709084E0,-4.313062668E0,7.778468132E0
1.206762774E0,4.668995380E0,-4.600201607E0,7.515257835E0
1.216668503E0,4.827519894E0,-4.346562386E0,7.428517818E0
1.226639962E0,5.388038158E0,-3.953541279E0,7.510472298E0
1.236611472E0,5.996413708E0,-3.809971809E0,7.534400463E0
1.246447514E0,6.173482418E0,-3.670589924E0,7.481160164E0
1.256418972E0,6.187839508E0,-3.622733593E0,7.529614449E0
1.266390483E0,6.135197163E0,-3.886542082E0,7.768897057E0
1.276256108E0,6.192625046E0,-4.092324734E0,8.181060791E0
1.286227566E0,6.302694798E0,-4.001397610E0,8.367700577E0
1.296199076E0,6.106483459E0,-3.996612072E0,8.137989998E0
1.306079597E0,5.823532104E0,-3.733401537E0,8.042277336E0
1.316051056E0,5.455037594E0,-2.755933523E0,8.348558426E0
1.326022566E0,5.388038158E0,-2.976073265E0,7.505686283E0
1.335905222E0,4.875376225E0,-3.215953588E0,7.630113125E0
1.345876681E0,4.793421745E0,-3.498306751E0,7.802396297E0
1.355848191E0,5.359324455E0,-3.800400496E0,7.764111042E0
1.365716056E0,6.068198204E0,-3.824328899E0,7.716254711E0
1.375687514E0,6.466004848E0,-3.637090445E0,7.878966808E0
