"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.989705350E-1,1.713693589E-1,-4.420717061E-2,-1.137136221E-1
8.089505870E-1,1.628475040E-1,-6.551183015E-2,-1.680405140E-1
8.189305350E-1,1.649779677E-1,-9.746882319E-2,-1.946713328E-1
8.287872010E-1,1.788259894E-1,-1.358172148E-1,-1.861494780E-1
8.387672010E-1,1.873478591E-1,-1.560566425E-1,-1.627143472E-1
8.487472010E-1,1.830869317E-1,-1.560566425E-1,-1.371487528E-1
8.586034510E-1,1.745650619E-1,-1.464695334E-1,-1.179745570E-1
8.685834510E-1,1.660431921E-1,-1.379476786E-1,-1.105179265E-1
8.785634510E-1,1.543256342E-1,-1.613828093E-1,-1.158440933E-1
8.883899620E-1,1.564560980E-1,-1.922745556E-1,-1.296921223E-1
8.983699620E-1,1.681736708E-1,-2.029268891E-1,-1.360835135E-1
9.083499100E-1,1.766955256E-1,-2.018616647E-1,-1.456706226E-1
9.182226700E-1,1.990654171E-1,-1.922745556E-1,-1.627143472E-1
9.282026180E-1,2.107829899E-1,-1.635132730E-1,-1.669752747E-1
9.381826180E-1,2.065220475E-1,-1.091863886E-1,-1.499315500E-1
9.480039200E-1,1.958697289E-1,-2.929390781E-2,-1.179745570E-1
9.579839200E-1,1.681736708E-1,2.822867595E-2,-9.347419441E-2
9.679638680E-1,1.426080763E-1,5.912043154E-2,-8.814803511E-2
9.778257950E-1,1.191729456E-1,4.953333735E-2,-1.105179265E-1
9.878057950E-1,9.680305421E-2,-2.290250920E-2,-1.520620137E-1
9.977857430E-1,9.786828607E-2,-8.788172156E-2,-1.893451661E-1
1.007642149E0,9.254211932E-2,-1.038602218E-1,-1.978670359E-1
1.017622149E0,8.721595258E-2,-7.829462737E-2,-1.637795717E-1
1.027602097E0,1.063901484E-1,-9.054481052E-3,-1.051917598E-1
1.037449806E0,1.351514459E-1,8.149032295E-2,-2.636451647E-2
1.047421264E0,1.585865617E-1,1.528609395E-1,1.624480449E-2
1.057392774E0,1.404775977E-1,1.496652365E-1,-5.059856921E-3
1.067295899E0,1.244991124E-1,1.006645188E-1,-6.258244067E-2
1.077267358E0,1.287600398E-1,4.527240247E-2,-1.254311949E-1
1.087238868E0,1.308905035E-1,-1.544587873E-2,-1.723014414E-1
1.097076108E0,1.287600398E-1,-2.716344222E-2,-1.712362021E-1
1.107047566E0,1.223686412E-1,2.396774292E-2,-1.286268830E-1
1.117019076E0,9.360735118E-2,6.551183015E-2,-6.258244067E-2
1.126922097E0,7.336792350E-2,1.294258088E-1,-7.190322969E-3
1.136893556E0,6.697652489E-2,1.731003672E-1,1.198387146E-2
1.146865066E0,6.910699606E-2,1.454043090E-1,-7.190322969E-3
1.156704493E0,9.999874979E-2,1.049254537E-1,-5.619104207E-2
1.166675951E0,1.330209672E-1,4.633763805E-2,-1.201050207E-1
1.176647462E0,1.511299312E-1,-2.929390781E-2,-1.904104054E-1
1.186519806E0,1.681736708E-1,-3.994623944E-2,-2.287587970E-1
1.196491264E0,1.820216924E-1,-2.290250920E-2,-2.074541301E-1
1.206462774E0,1.692388952E-1,-3.568530455E-2,-1.499315500E-1
1.216368503E0,1.362166703E-1,-4.420717061E-2,-6.790860742E-2
1.226339962E0,1.287600398E-1,-3.462007269E-2,2.476666868E-2
1.236311472E0,1.255643368E-1,4.740286991E-2,7.057169080E-2
1.246147514E0,8.721595258E-2,9.533835202E-2,4.713656008E-2
1.256118972E0,4.567186534E-2,5.592473224E-2,3.462007269E-3
1.266090483E0,4.141093418E-2,-2.663082443E-3,-3.275591508E-2
1.275956108E0,4.567186534E-2,-5.272903293E-2,-6.897383928E-2
1.285927566E0,5.099803209E-2,-8.468602598E-2,-1.062569916E-1
1.295899076E0,7.549838722E-2,-8.681648970E-2,-1.275616586E-1
1.305779597E0,8.828118443E-2,-6.657706201E-2,-1.243659556E-1
1.315751056E0,1.074553803E-1,-1.049254537E-1,-8.814803511E-2
1.325722566E0,1.308905035E-1,-1.720351279E-1,-3.169068322E-2
1.335605222E0,1.085206121E-1,-1.304910481E-1,-1.038602181E-2
1.345576681E0,7.017222792E-2,-1.411433816E-1,2.263620123E-2
1.355548191E0,3.501953557E-2,-1.613828093E-1,4.607132822E-2
1.365416056E0,2.330197208E-2,-1.667089611E-1,5.033225939E-2
1.375387514E0,1.584534161E-2,-1.517957002E-1,2.902759984E-2
1.385359024E0,2.330197208E-2,-1.454043090E-1,-1.890788600E-2
1.395227253E0,5.206326395E-2,-1.315562725E-1,-7.643046975E-2
1.405198712E0,8.615072072E-2,-8.788172156E-2,-1.233007237E-1
1.415170222E0,1.234338731E-1,-6.231613085E-2,-1.382139921E-1
1.425044285E0,1.255643368E-1,-8.894696087E-2,-1.094526947E-1
1.435015743E0,1.127815470E-1,-1.358172148E-1,-3.595161438E-2
