"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.382578333E-1,-2.321118116E0,-1.782104671E-1,-3.007020056E-1
7.483218333E-1,-2.520336628E0,1.287136823E-1,-2.343472838E-1
7.583848333E-1,-2.420405865E0,2.151351273E-1,-1.379251480E-1
7.684488333E-1,-1.938316345E0,3.424527124E-2,-4.102332145E-2
7.785128333E-1,-1.260077715E0,-3.444091082E-1,1.533955242E-2
7.885768333E-1,-6.551360488E-1,-7.402612567E-1,2.978775650E-2
7.986398333E-1,-2.197012007E-1,-9.971089959E-1,5.082672834E-2
8.087038333E-1,4.900534824E-2,-1.225948572E0,1.026305407E-1
8.187678333E-1,1.669692695E-1,-1.475211620E0,2.044280171E-1
8.288308334E-1,2.592905462E-1,-1.591464639E0,3.207516074E-1
8.388948333E-1,6.384852529E-1,-1.404304624E0,3.600851893E-1
8.489588333E-1,1.396303058E0,-1.063082099E0,2.018818855E-1
8.590228333E-1,2.104522228E0,-6.224092245E-1,-1.604579389E-1
8.690858334E-1,2.385594845E0,-2.069600672E-1,-5.813603997E-1
8.791498333E-1,2.123573542E0,1.909447014E-1,-8.330978155E-1
8.892138333E-1,1.467934489E0,2.038888037E-1,-7.990460396E-1
8.992778333E-1,9.641751051E-1,-3.348660171E-1,-4.784712493E-1
9.093408334E-1,9.070469141E-1,-9.288486838E-1,-2.120283842E-1
9.194048333E-1,1.034302354E0,-1.297266960E0,-1.477425992E-1
9.294688333E-1,1.146772385E0,-1.470008612E0,-1.843035817E-1
9.395328333E-1,1.152140021E0,-1.505971432E0,-2.272925824E-1
9.495958334E-1,1.015671015E0,-1.398126125E0,-2.047206163E-1
9.596598333E-1,8.014151454E-1,-1.154801965E0,-1.472956836E-1
9.697238333E-1,5.954716206E-1,-8.442480564E-1,-6.212458014E-2
9.797868333E-1,4.432157576E-1,-4.755972922E-1,3.719002008E-2
9.898508334E-1,3.534872532E-1,-1.294975579E-1,1.115350723E-1
9.999148333E-1,3.379817903E-1,1.087616235E-1,1.495042890E-1
1.009978833E0,3.675092459E-1,1.992097944E-1,1.669808030E-1
1.020041833E0,3.180799186E-1,1.292208582E-1,1.889500171E-1
1.030105833E0,7.701669633E-2,-1.177191883E-1,1.886448264E-1
1.040169833E0,-3.418482244E-1,-5.142183304E-1,1.366071701E-1
1.050233833E0,-7.363128662E-1,-9.076463580E-1,2.742417902E-2
1.060296833E0,-8.853572011E-1,-1.059610486E0,-1.212949902E-1
1.070360833E0,-8.282774091E-1,-8.998824954E-1,-1.910369247E-1
1.080424833E0,-7.598714232E-1,-5.784618258E-1,-2.110396624E-1
1.090488833E0,-7.270453572E-1,-2.845100760E-1,-2.557348311E-1
