"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.546108334E-1,-1.666185150E0,-9.828262024E0,-1.167871399E0
7.646748333E-1,-2.313289490E0,-1.042971130E1,-1.510359192E0
7.747388334E-1,-2.834954681E0,-1.061367874E1,-1.270557861E0
7.848028333E-1,-3.020269318E0,-1.023481659E1,1.606159973E-1
7.948658334E-1,-2.724634094E0,-9.222771149E0,1.726809082E0
8.049298333E-1,-1.929487610E0,-7.982600098E0,2.759062500E0
8.149938334E-1,-1.145867157E0,-7.583529968E0,3.187022552E0
8.250568333E-1,-8.740324402E-1,-8.904682617E0,2.196382599E0
8.351208334E-1,-1.309027863E0,-1.187136337E1,-7.845185852E-1
8.451848333E-1,-2.126328278E0,-1.637130569E1,-6.065836029E0
8.552488334E-1,-2.748883667E0,-2.183150116E1,-9.097631378E0
8.653118333E-1,-2.596201172E0,-2.634701111E1,-5.792354736E0
8.753758334E-1,-1.548978882E0,-2.891507080E1,-1.095721436E0
8.854398333E-1,-2.621049500E-1,-2.984808060E1,-1.047821045E-1
8.955038334E-1,1.236279144E0,-2.847318970E1,-1.125060425E0
9.055668333E-1,2.263592834E0,-2.317495743E1,-1.638043671E0
9.156308334E-1,1.467099152E0,-1.731868561E1,-1.713935852E0
9.256948333E-1,1.441502380E-1,-1.336810089E1,-1.428329773E0
9.357588334E-1,-7.216493225E-1,-1.019020935E1,-1.173709259E0
9.458218333E-1,-1.157991943E0,-7.313940582E0,-1.167871399E0
9.558858334E-1,-1.400188293E0,-4.785249023E0,-1.454674988E0
9.659498333E-1,-1.478924561E0,-2.662363586E0,-1.666484528E0
9.760128334E-1,-1.356778564E0,-1.033899994E0,-1.586550751E0
9.860768333E-1,-1.232836304E0,1.264869690E-1,-1.388662262E0
9.961408334E-1,-1.049467621E0,8.711883545E-1,-6.891668701E-1
1.006204833E0,-8.295748901E-1,1.369951172E0,2.077679443E-1
1.016267833E0,-6.732998657E-1,1.904190216E0,8.111631775E-1
1.026331833E0,-5.493576050E-1,2.589914246E0,8.442443848E-1
1.036395833E0,-4.291575623E-1,3.099005585E0,5.339396667E-1
1.046459833E0,-3.391946411E-1,3.351081390E0,2.664459229E-2
1.056522833E0,-3.222798157E-1,3.122806091E0,-6.354286194E-1
1.066586833E0,-4.068539429E-1,1.758692780E0,-1.524280243E0
1.076650833E0,-4.978646851E-1,-6.280938721E-1,-2.100881195E0
1.086714833E0,-6.429130554E-1,-2.033820648E0,-1.889221344E0
1.096777833E0,-6.521937561E-1,-2.730771332E0,-1.162183228E0
1.106841833E0,-4.710704041E-1,-2.869682465E0,-1.513352966E-1
1.116905833E0,-2.589614868E-1,-2.570005646E0,8.723858643E-1
1.126969833E0,-2.336640930E-1,-2.297721863E0,1.551523590E0
1.137032833E0,-5.206173706E-1,-2.354154510E0,1.799857178E0
1.147096833E0,-1.021326141E0,-2.720442810E0,1.550775146E0
1.157160833E0,-1.488504639E0,-3.246448975E0,8.578660583E-1
1.167223833E0,-1.853894806E0,-4.126319275E0,-3.909869385E-1
1.177287833E0,-2.236499176E0,-6.021378479E0,-2.893632660E0
1.187351833E0,-3.325783997E0,-9.203461304E0,-7.603139191E0
1.197415833E0,-5.397924957E0,-1.422746384E1,-1.388258102E1
1.207478833E0,-6.744824066E0,-1.925520859E1,-1.376148285E1
1.217542833E0,-6.701564026E0,-2.194062424E1,-4.362228699E0
1.227606833E0,-7.230114899E0,-2.570694214E1,1.270258484E0
1.237670833E0,-7.358248444E0,-3.229115021E1,5.367837524E-1
1.247733833E0,-5.478158112E0,-3.907145050E1,-1.773362274E0
1.257797833E0,-1.824855194E0,-4.185910355E1,-2.830014954E0
1.267861833E0,1.768272858E0,-3.736993881E1,-2.586621094E-1
1.277925833E0,2.899470520E0,-2.858336060E1,4.646337891E-1
1.287988833E0,1.559008026E0,-2.212444199E1,-1.390308838E0
1.298052833E0,3.173400879E-1,-1.850616623E1,-2.399360504E0
1.308116833E0,-2.222877502E-1,-1.597507965E1,-2.608775024E0
1.318180833E0,-3.327580261E-1,-1.376492569E1,-2.552941132E0
1.328243833E0,-2.677931213E-1,-1.166778671E1,-2.388732605E0
1.338307833E0,-2.154020691E-1,-9.618548126E0,-2.171983337E0
1.348371833E0,-2.251318359E-1,-7.612120514E0,-1.839973755E0
1.358434833E0,-3.776646423E-1,-5.664670258E0,-1.673819275E0
1.368498833E0,-6.090834045E-1,-3.816014557E0,-1.740281067E0
1.378562833E0,-9.340576172E-1,-2.045196991E0,-2.225122833E0
1.388626833E0,-1.247056732E0,-4.363426208E-1,-2.907703400E0
1.398689833E0,-1.523232422E0,8.637039185E-1,-3.497476959E0
1.408753833E0,-1.682052155E0,1.884131927E0,-4.039499817E0
1.418817833E0,-1.718725891E0,2.624791718E0,-4.157454529E0
1.428881833E0,-1.606459351E0,3.060535583E0,-3.845652924E0
1.438944833E0,-1.387464752E0,3.176843719E0,-3.040776672E0
1.449008833E0,-1.077609100E0,3.073259125E0,-1.971550140E0
1.459072833E0,-7.203021240E-1,2.601889343E0,-7.617658997E-1
1.469136833E0,-5.284011841E-2,1.718576202E0,4.013154602E-1
1.479199833E0,8.619076538E-1,1.591191101E-1,1.337917786E0
1.489263833E0,1.413959656E0,-1.139131165E0,1.444645844E0
1.499327833E0,1.568887482E0,-1.762884064E0,1.050964508E0
1.509391833E0,1.436862030E0,-2.039359131E0,5.132826233E-1
1.519454833E0,1.185085602E0,-2.083217926E0,2.273771667E-1
1.529518833E0,7.541317749E-1,-2.036365356E0,3.376977539E-1
1.539582833E0,1.089733887E-1,-1.889520721E0,6.695576477E-1
1.549646833E0,-5.851332092E-1,-1.838626556E0,1.043031006E0
1.559709833E0,-1.298699341E0,-2.149530029E0,1.425036621E0
1.569773833E0,-1.925296326E0,-2.690954132E0,1.661694489E0
1.579838208E0,-2.655178528E0,-3.664978638E0,1.376537476E0
1.589901208E0,-3.542084198E0,-5.594615936E0,-1.549278259E-1
1.599965208E0,-4.316573639E0,-8.435558167E0,-3.908671875E0
1.610029208E0,-5.248685303E0,-1.271994873E1,-1.041803558E1
1.620093208E0,-5.942342834E0,-1.720851471E1,-1.222747284E1
1.630156208E0,-6.211333466E0,-2.000664597E1,-6.262227631E0
