"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.484132340E-1,3.427718580E-1,-8.801998138E0,-5.621936798E0
7.583834420E-1,-2.632104978E-2,-8.452047348E0,-4.591826439E0
7.683216190E-1,7.776673418E-3,-8.131409645E0,-4.107878208E0
7.782597960E-1,6.544370055E-1,-7.929814339E0,-3.724428415E0
7.881656820E-1,1.392024517E0,-7.738388538E0,-4.395615101E0
7.981038070E-1,1.368096352E0,-7.527820110E0,-6.120242119E0
8.080420360E-1,6.879364848E-1,-6.933801651E0,-6.704689026E0
8.180087550E-1,1.992024779E-1,-6.602993965E0,-6.503692150E0
8.279469320E-1,1.178465188E-1,-6.598208427E0,-6.220740795E0
8.378851090E-1,-5.240281820E-1,-6.540780544E0,-5.736792088E0
8.477999010E-1,-1.674377680E0,-6.684350014E0,-5.545366287E0
8.577380780E-1,-1.956730723E0,-7.134799004E0,-5.416153908E0
8.676762550E-1,-1.784447432E0,-7.388438225E0,-5.252843857E0
8.776087550E-1,-1.913659930E0,-7.436892986E0,-5.665007591E0
8.875469840E-1,-1.904088616E0,-7.456035137E0,-6.201598167E0
8.974851610E-1,-2.378465652E0,-7.475177765E0,-6.814758778E0
9.074333380E-1,-3.265006542E0,-7.412366390E0,-7.011568546E0
9.173715150E-1,-3.609572887E0,-7.082156658E0,-6.757331371E0
9.273096920E-1,-3.494717360E0,-6.598208427E0,-6.680760860E0
9.372607860E-1,-3.135195971E0,-6.114260197E0,-6.244668961E0
9.471989630E-1,-2.249253273E0,-5.534598827E0,-6.460621357E0
9.571371400E-1,-1.741376638E0,-5.275575638E0,-6.642475605E0
9.670596920E-1,-1.171286702E0,-5.673382282E0,-6.642475605E0
9.769978170E-1,-3.134597540E-1,-5.860620975E0,-7.250850677E0
9.869359940E-1,2.709871531E-1,-5.788238049E0,-7.672585964E0
9.968530260E-1,4.097708762E-1,-5.687739372E0,-7.864011765E0
1.006791255E0,-3.613162339E-1,-5.414957523E0,-8.395816803E0
1.016729380E0,-1.798804402E0,-5.347958565E0,-7.988438606E0
1.026674953E0,-2.579462767E0,-5.376672268E0,-8.123034477E0
1.036613130E0,-3.092125177E0,-5.319244862E0,-7.260422230E0
1.046551359E0,-3.552145243E0,-5.505885124E0,-7.418348312E0
1.056486046E0,-3.293720484E0,-5.716453075E0,-7.581658363E0
1.066424171E0,-2.569891453E0,-5.855835438E0,-6.766902447E0
1.076362296E0,-1.755733609E0,-5.682953835E0,-6.876972198E0
1.086316932E0,-1.180858016E0,-5.338387489E0,-8.443673134E0
1.096255005E0,-8.979067206E-1,-4.964509010E0,-9.981659889E0
1.106193130E0,-9.505487680E-1,-5.002793789E0,-9.172286987E0
1.116144640E0,-1.482353687E0,-4.969294548E0,-8.970691681E0
1.126082765E0,-1.956730723E0,-4.883152962E0,-9.153144836E0
1.136020838E0,-2.042872429E0,-4.926223755E0,-9.066405296E0
1.145933598E0,-1.626521230E0,-5.170291424E0,-9.430712700E0
1.155871723E0,-1.525424480E0,-4.787439823E0,-8.841479301E0
1.165809848E0,-1.956730723E0,-4.380061626E0,-8.319246292E0
1.175779588E0,-2.690130949E0,-4.020540237E0,-8.750552177E0
1.185717661E0,-2.871985435E0,-4.111467361E0,-7.935796261E0
1.195655786E0,-2.795415163E0,-3.627519131E0,-8.218747139E0
1.205575369E0,-2.119442701E0,-3.004786968E0,-9.866804123E0
1.215513442E0,-1.065404296E0,-2.751147747E0,-1.056132126E1
1.225451567E0,-1.698904037E-1,-2.539981127E0,-9.924231529E0
1.235409380E0,-2.799602449E-1,-2.429911375E0,-1.001037312E1
1.245347505E0,-1.290927768E0,-2.152343988E0,-8.999405861E0
1.255285578E0,-1.400997639E0,-2.358126640E0,-8.721838951E0
1.265219015E0,-1.798804402E0,-2.751147747E0,-9.924231529E0
1.275157088E0,-2.206182480E0,-3.177668571E0,-9.564710617E0
1.285095265E0,-2.737987280E0,-2.947359324E0,-9.732806206E0
1.295035473E0,-3.293720484E0,-2.520838737E0,-1.024546814E1
1.304973546E0,-2.014158487E0,-2.592623234E0,-9.895518303E0
1.314911671E0,-8.548358679E-1,-2.036890268E0,-1.013958549E1
1.324835630E0,-5.048855543E-1,-1.289731383E0,-9.890732765E0
1.334773703E0,-7.351947427E-1,-9.924231768E-1,-1.016889763E1
1.344711828E0,-4.139583111E-1,-1.323230863E0,-1.047039413E1
1.354650578E0,-1.363908947E-1,-1.639681697E0,-1.098784161E1
1.364588651E0,-1.391426325E0,-1.630110383E0,-1.174457169E1
1.374526776E0,-1.985444546E0,-1.802393675E0,-1.113141060E1
1.384479432E0,-1.698305845E0,-2.114058733E0,-1.041296577E1
1.394417557E0,-1.736590981E0,-1.625324726E0,-1.131864929E1
1.404355682E0,-1.904088616E0,-7.770691514E-1,-1.204187965E1
1.414295473E0,-6.251249313E-1,-9.828519225E-1,-1.048953629E1
1.424233546E0,-3.565305769E-1,-7.483552694E-1,-1.030289650E1
1.434171671E0,-5.868397355E-1,-4.654040039E-1,-1.140000534E1
1.444098755E0,-8.500502706E-1,-3.457628787E-1,-1.178345490E1
1.454036828E0,-1.813161373E0,-4.426721856E-2,-1.146700478E1
1.463974953E0,-2.690130949E0,8.554340899E-2,-1.203709412E1
1.473921723E0,-2.871985435E0,3.708875179E-2,-1.231525993E1
1.483859848E0,-2.435893536E0,-2.512463741E-2,-1.246840096E1
1.493797921E0,-2.119442701E0,3.708875179E-2,-1.220937729E1
1.503709692E0,-1.774876237E0,-5.982056726E-3,-1.204187965E1
1.513647817E0,-1.444068432E0,-2.165504545E-1,-1.210887909E1
1.523585942E0,-1.176072359E0,-4.707878530E-1,-1.220937729E1
1.533526255E0,-8.931210637E-1,-4.995017350E-1,-1.204666519E1
1.543464328E0,-5.533402562E-1,-4.510470629E-1,-1.173021507E1
1.553402453E0,-5.868397355E-1,-5.425725579E-1,-1.204187965E1
1.563353703E0,-1.238285661E0,-6.382854581E-1,-1.219980621E1
1.573291880E0,-1.621735573E0,-7.244270444E-1,-1.243968678E1
1.583230057E0,-1.544566989E0,-1.021735311E0,-1.291406345E1
1.593164901E0,-1.410568953E0,-1.001994491E0,-1.248275757E1
1.603103078E0,-1.094716311E0,-8.440681696E-1,-1.208973598E1
1.613041307E0,-9.553344250E-1,-8.488538265E-1,-1.231525993E1
1.622990265E0,-9.361918569E-1,-8.823533654E-1,-1.187916756E1
1.632928442E0,-8.979067206E-1,-1.208375454E0,-1.155314636E1
