"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.809166250E-1,5.386325121E-1,-5.654903054E-1,5.322952867E-1
8.909796251E-1,3.632257581E-1,-7.528918982E-1,5.049432516E-1
9.010436250E-1,2.054420114E-1,-1.003030658E0,4.487438500E-1
9.111066250E-1,1.467608511E-1,-1.233148575E0,3.807874322E-1
9.211696250E-1,2.426889837E-1,-1.346254468E0,3.428766131E-1
9.312336250E-1,4.737408459E-1,-1.346036911E0,3.472873271E-1
9.412966250E-1,7.328538895E-1,-1.261410594E0,3.658864796E-1
9.513596250E-1,9.068352580E-1,-1.132901669E0,3.575308025E-1
9.614236250E-1,9.385561943E-1,-1.034913301E0,3.088238537E-1
9.714866250E-1,8.262829185E-1,-1.024039268E0,2.354537845E-1
9.815496251E-1,6.208471060E-1,-1.102877736E0,1.960208416E-1
9.916126250E-1,4.140364230E-1,-1.195138454E0,2.420533150E-1
1.001676625E0,2.805691957E-1,-1.200606465E0,3.472693861E-1
1.011739625E0,2.558968663E-1,-1.050367475E0,4.583495855E-1
1.021802625E0,3.034401834E-1,-7.226684690E-1,5.325331092E-1
1.031866625E0,3.949836791E-1,-2.619589567E-1,5.152278543E-1
1.041929625E0,4.978365600E-1,1.935966611E-1,4.432780445E-1
1.051992625E0,5.816296935E-1,3.949944973E-1,3.930052817E-1
1.062056625E0,5.691254139E-1,2.189306468E-1,3.751366735E-1
1.072119625E0,4.972165823E-1,-1.780609190E-1,3.685961962E-1
1.082182625E0,4.291872084E-1,-5.148037076E-1,3.675256073E-1
1.092246625E0,4.121261835E-1,-6.323308945E-1,3.375493288E-1
1.102309625E0,4.261234403E-1,-5.578215718E-1,2.540702224E-1
1.112372625E0,4.584451616E-1,-3.487115204E-1,1.352492869E-1
1.122436625E0,4.939387441E-1,-4.715122655E-2,5.595764518E-2
1.132499625E0,4.338466227E-1,1.561914980E-1,-1.936187409E-2
1.142562625E0,-1.615163684E0,-3.148957968E0,-8.830611110E-1
1.152626625E0,-4.940314293E-1,-9.440526366E-1,-1.889747679E-1
